,workclass,fnlwgt,education-num,marital-status,occupation,relationship,sex,capital-gain,capital-loss,hours-per-week,native-country,salary
93,Private,,,Married-civ-spouse,Handlers-cleaners,Husband,Male,,,45.0,United-States,<=50K
94,Private,,10.0,,Farming-fishing,Unmarried,Male,0.0,0.0,60.0,,
95,Private,188941.0,,Married-civ-spouse,Tech-support,Husband,,3908.0,0.0,,,
96,,,,Never-married,,Not-in-family,Male,,,40.0,,<=50K
97,Private,,9.0,,Transport-moving,Not-in-family,Male,0.0,0.0,40.0,,
98,,226989.0,10.0,Married-spouse-absent,,Not-in-family,,0.0,0.0,,,
99,Private,338740.0,13.0,Married-civ-spouse,Craft-repair,Husband,,0.0,0.0,,,
100,Private,,10.0,,Craft-repair,Husband,Male,0.0,0.0,50.0,,
101,Private,,5.0,,Other-service,Own-child,Female,0.0,0.0,50.0,,
102,Private,,,Married-civ-spouse,Craft-repair,Husband,Male,,,40.0,Dominican-Republic,<=50K
103,Private,,13.0,,Exec-managerial,Husband,Male,0.0,0.0,45.0,,
104,,161981.0,6.0,Never-married,,Own-child,,0.0,0.0,,,
105,Local-gov,,,Divorced,Prof-specialty,Not-in-family,Female,,,70.0,United-States,<=50K
106,Private,180765.0,7.0,Divorced,Other-service,Unmarried,,0.0,0.0,,,
107,Private,,,Never-married,Machine-op-inspct,Not-in-family,Male,,,40.0,United-States,<=50K
108,Private,,,Never-married,Other-service,Not-in-family,Male,,,40.0,United-States,<=50K
109,Private,145098.0,10.0,Married-civ-spouse,Sales,Husband,,0.0,0.0,,,
110,Federal-gov,,,Never-married,Adm-clerical,Unmarried,Female,,,40.0,United-States,<=50K
111,Private,,,Married-civ-spouse,Sales,Husband,Male,,,50.0,United-States,>50K
112,Local-gov,,,Divorced,Prof-specialty,Not-in-family,Female,,,40.0,United-States,>50K
113,Private,141642.0,9.0,Never-married,Other-service,Not-in-family,,0.0,0.0,,,
114,Private,,,Never-married,Tech-support,Not-in-family,Male,,,45.0,United-States,<=50K
115,Self-emp-not-inc,203784.0,11.0,Married-civ-spouse,Farming-fishing,Husband,,0.0,0.0,,,
116,Self-emp-not-inc,,,Married-civ-spouse,Craft-repair,Husband,Male,,,40.0,United-States,<=50K
117,,,,Married-civ-spouse,,Husband,Male,,,8.0,United-States,<=50K
118,Private,,9.0,,Craft-repair,Own-child,Male,0.0,0.0,40.0,,
119,Private,99591.0,7.0,Never-married,Other-service,Own-child,,0.0,0.0,,,
120,Federal-gov,280167.0,14.0,Married-civ-spouse,Prof-specialty,Husband,,0.0,0.0,,,
121,Private,,6.0,,Other-service,Unmarried,Female,0.0,0.0,25.0,,
122,Federal-gov,368947.0,13.0,Never-married,Protective-serv,Not-in-family,,0.0,0.0,,,
123,State-gov,142757.0,9.0,Married-civ-spouse,Protective-serv,Husband,,0.0,0.0,,,
124,Federal-gov,,,Never-married,Adm-clerical,Not-in-family,Male,,,40.0,Puerto-Rico,<=50K
125,Private,198587.0,9.0,Never-married,Sales,Unmarried,,0.0,0.0,,,
126,Federal-gov,39181.0,16.0,Divorced,Exec-managerial,Not-in-family,,0.0,2559.0,,,
127,Self-emp-inc,,13.0,,Sales,Not-in-family,Male,0.0,0.0,50.0,,
128,Self-emp-inc,39844.0,9.0,Never-married,Transport-moving,Not-in-family,,0.0,0.0,,,
129,Private,,,Separated,Exec-managerial,Unmarried,Female,,,40.0,United-States,<=50K
130,Federal-gov,,9.0,,Tech-support,Husband,Male,7298.0,0.0,50.0,,
131,Private,,6.0,,Other-service,Other-relative,Female,0.0,0.0,20.0,,
132,Private,,10.0,,Craft-repair,Other-relative,Male,0.0,0.0,40.0,,
133,Private,,,Married-civ-spouse,Handlers-cleaners,Husband,Male,,,40.0,United-States,<=50K
134,Private,234220.0,9.0,Divorced,Machine-op-inspct,Own-child,,0.0,0.0,,,
135,,,10.0,,,Own-child,Male,0.0,0.0,32.0,,
136,Self-emp-not-inc,220148.0,9.0,Married-civ-spouse,Exec-managerial,Husband,,0.0,0.0,,,
137,Private,,10.0,,Sales,Husband,Male,0.0,0.0,40.0,,
138,Private,210095.0,7.0,Married-spouse-absent,Handlers-cleaners,Not-in-family,,0.0,0.0,,,
139,Local-gov,,10.0,,Protective-serv,Husband,Male,0.0,0.0,48.0,,
140,Self-emp-not-inc,,,Never-married,Other-service,Not-in-family,Female,,,35.0,United-States,<=50K
141,Private,91257.0,9.0,Married-civ-spouse,Other-service,Husband,,0.0,0.0,,,
142,Private,,,Married-civ-spouse,Prof-specialty,Husband,Male,,,80.0,United-States,<=50K
143,Private,183594.0,9.0,Never-married,Adm-clerical,Other-relative,,0.0,0.0,,,
144,Local-gov,74056.0,13.0,Never-married,Tech-support,Not-in-family,,0.0,0.0,,,
145,Private,,13.0,,Sales,Husband,Male,15024.0,0.0,50.0,,
146,,,,Never-married,,Own-child,Female,,,40.0,United-States,<=50K
147,State-gov,62726.0,10.0,Divorced,Other-service,Not-in-family,,0.0,0.0,,,
148,Private,,9.0,,Machine-op-inspct,Not-in-family,Female,0.0,0.0,40.0,,
149,,191140.0,10.0,Never-married,,Own-child,,0.0,0.0,,,
150,Private,,9.0,,Handlers-cleaners,Own-child,Male,0.0,0.0,25.0,,
151,Private,,9.0,,Adm-clerical,Not-in-family,Female,0.0,0.0,40.0,,
152,Private,112115.0,13.0,Never-married,Exec-managerial,Other-relative,,0.0,0.0,,,
153,Private,,9.0,,Machine-op-inspct,Not-in-family,Male,0.0,0.0,40.0,,
154,,130832.0,13.0,Never-married,,Unmarried,,0.0,0.0,,,
155,Private,238255.0,9.0,Divorced,Adm-clerical,Unmarried,,0.0,0.0,,,
156,Private,,9.0,,Adm-clerical,Own-child,Female,0.0,0.0,40.0,,
157,Private,64292.0,10.0,Never-married,Sales,Not-in-family,,0.0,0.0,,,
158,Self-emp-not-inc,,9.0,,Craft-repair,Unmarried,Male,0.0,0.0,40.0,,
159,Private,178282.0,9.0,Married-civ-spouse,Machine-op-inspct,Husband,,7688.0,0.0,,,
160,Private,198766.0,14.0,Married-civ-spouse,Sales,Husband,,20051.0,0.0,,,
161,Private,217568.0,9.0,Widowed,Craft-repair,Unmarried,,0.0,0.0,,,
162,Self-emp-not-inc,39630.0,9.0,Married-civ-spouse,Sales,Husband,,0.0,0.0,,,
163,Private,,,Married-civ-spouse,Craft-repair,Husband,Male,,,48.0,United-States,>50K
164,Private,,,Never-married,Sales,Other-relative,Female,,,45.0,United-States,<=50K
165,Self-emp-not-inc,,,Married-civ-spouse,Exec-managerial,Husband,Male,,,1.0,United-States,<=50K
166,Private,749105.0,9.0,Divorced,Other-service,Unmarried,,0.0,0.0,,,
167,State-gov,203628.0,13.0,Married-civ-spouse,Prof-specialty,Husband,,0.0,0.0,,,
168,Private,,,Never-married,Sales,Other-relative,Male,,,40.0,United-States,<=50K
169,Private,,,Divorced,Sales,Not-in-family,Male,,,40.0,United-States,<=50K
170,Private,,13.0,,Craft-repair,Husband,Male,0.0,0.0,40.0,,
171,Private,,13.0,,Adm-clerical,Own-child,Female,0.0,0.0,37.0,,
172,Private,104359.0,10.0,Married-civ-spouse,Handlers-cleaners,Husband,,0.0,0.0,,,
173,Private,78374.0,9.0,Married-civ-spouse,Adm-clerical,Wife,,0.0,0.0,,,
174,Private,,,Married-civ-spouse,Other-service,Husband,Male,,,24.0,United-States,<=50K
175,Private,,10.0,,Exec-managerial,Husband,Male,0.0,0.0,40.0,,
176,Private,201232.0,9.0,Married-civ-spouse,Priv-house-serv,Husband,,0.0,0.0,,,
177,Private,,,Never-married,Exec-managerial,Own-child,Female,,,40.0,United-States,<=50K
178,Private,39986.0,5.0,Married-civ-spouse,Craft-repair,Husband,,0.0,0.0,,,
179,Private,391403.0,10.0,Never-married,Adm-clerical,Own-child,,0.0,0.0,,,
180,Private,345073.0,9.0,Divorced,Exec-managerial,Not-in-family,,0.0,0.0,,,
181,Private,,,Never-married,Other-service,Unmarried,Female,,,40.0,Puerto-Rico,<=50K
182,Private,,9.0,,Other-service,Other-relative,Female,0.0,0.0,99.0,,
183,Private,,,Never-married,Adm-clerical,Not-in-family,Male,,,40.0,United-States,<=50K
184,Private,,,Married-civ-spouse,Craft-repair,Husband,Male,,,42.0,United-States,>50K
185,Private,131766.0,12.0,Never-married,Exec-managerial,Not-in-family,,3325.0,0.0,,,
186,Private,264244.0,9.0,Married-spouse-absent,Craft-repair,Not-in-family,,0.0,0.0,,,
187,Private,,,Married-civ-spouse,Exec-managerial,Husband,Male,,,50.0,United-States,>50K
188,,,,Never-married,,Unmarried,Female,,,40.0,United-States,<=50K
189,Private,,10.0,,Machine-op-inspct,Not-in-family,Female,0.0,0.0,35.0,,
190,Private,,,Married-civ-spouse,Craft-repair,Husband,Male,,,40.0,United-States,>50K
191,Local-gov,,,Never-married,Protective-serv,Not-in-family,Female,,,50.0,United-States,<=50K
192,Private,111385.0,9.0,Never-married,Craft-repair,Not-in-family,,0.0,0.0,,,
193,Self-emp-inc,149650.0,9.0,Divorced,Other-service,Not-in-family,,0.0,0.0,,,
194,Self-emp-not-inc,,,Never-married,Other-service,Unmarried,Female,,,40.0,United-States,<=50K
195,Private,329603.0,16.0,Married-civ-spouse,Prof-specialty,Husband,,0.0,0.0,,,
196,Private,,,Married-civ-spouse,Prof-specialty,Husband,Male,,,55.0,United-States,<=50K
197,State-gov,,13.0,,Protective-serv,Not-in-family,Male,0.0,0.0,40.0,,
198,,,,Never-married,,Not-in-family,Male,,,40.0,United-States,<=50K
199,,,,,,Own-child,Male,0.0,0.0,40.0,,
200,Private,,9.0,,Craft-repair,Unmarried,Male,2036.0,0.0,30.0,,
201,Private,,9.0,,Exec-managerial,Husband,Male,0.0,0.0,40.0,,
202,Private,,,Never-married,Handlers-cleaners,Own-child,Male,,,40.0,United-States,<=50K
203,Private,161087.0,,Never-married,Exec-managerial,,Male,0.0,0.0,50.0,,
204,Federal-gov,356689.0,13.0,Married-civ-spouse,Adm-clerical,Husband,,0.0,0.0,,,
205,Private,278139.0,9.0,Married-civ-spouse,Sales,Husband,,3432.0,0.0,,,
206,Private,187479.0,10.0,Married-civ-spouse,Exec-managerial,Husband,,0.0,0.0,,,
207,Private,,,Married-civ-spouse,Prof-specialty,Husband,Male,,,56.0,United-States,>50K
208,Private,109097.0,7.0,Never-married,Adm-clerical,Not-in-family,,0.0,0.0,,,
209,Private,,10.0,,Transport-moving,Husband,Male,0.0,0.0,60.0,,
210,Self-emp-not-inc,,13.0,,Sales,Husband,Male,0.0,1887.0,40.0,,
211,Private,,13.0,,Tech-support,Wife,Female,0.0,0.0,40.0,,
212,Private,,16.0,,Exec-managerial,Not-in-family,Male,0.0,0.0,60.0,,
213,Self-emp-not-inc,132589.0,10.0,Married-civ-spouse,Farming-fishing,Husband,,0.0,0.0,,,
214,Self-emp-not-inc,315984.0,9.0,Married-civ-spouse,Exec-managerial,Husband,,0.0,0.0,,,
215,Federal-gov,306515.0,9.0,Never-married,Adm-clerical,Not-in-family,,0.0,0.0,,,
216,Private,,,Never-married,Handlers-cleaners,Other-relative,Male,,,20.0,United-States,<=50K
217,Private,,,Married-civ-spouse,Machine-op-inspct,Husband,Male,,,40.0,United-States,<=50K
218,Local-gov,,14.0,,Exec-managerial,Husband,Male,0.0,0.0,40.0,,
219,Local-gov,173542.0,9.0,Divorced,Adm-clerical,Unmarried,,0.0,0.0,,,
220,Federal-gov,,9.0,,Adm-clerical,Unmarried,Female,0.0,0.0,12.0,,
221,Federal-gov,,10.0,,Other-service,Husband,Male,0.0,0.0,40.0,,
222,Private,289731.0,10.0,Married-civ-spouse,Craft-repair,Husband,,0.0,0.0,,,
223,Private,,,Married-civ-spouse,Craft-repair,Husband,Male,,,48.0,United-States,>50K
224,Local-gov,,,Married-civ-spouse,Prof-specialty,Husband,Male,,,10.0,United-States,>50K
225,Self-emp-inc,104737.0,9.0,Married-civ-spouse,Craft-repair,Husband,,0.0,0.0,,,
226,Private,,5.0,,Handlers-cleaners,Unmarried,Male,0.0,0.0,40.0,,
227,Private,,9.0,,Farming-fishing,Other-relative,Male,0.0,0.0,40.0,,
228,Self-emp-not-inc,,13.0,,Farming-fishing,Husband,Male,0.0,0.0,50.0,,
229,Private,,,Never-married,Exec-managerial,Not-in-family,Male,,,40.0,United-States,<=50K
230,Private,,10.0,,Adm-clerical,Not-in-family,Female,0.0,0.0,40.0,,
231,Self-emp-not-inc,,7.0,,Farming-fishing,Own-child,Male,0.0,0.0,24.0,,
232,Private,,9.0,,Other-service,Unmarried,Female,0.0,0.0,17.0,,
233,Self-emp-not-inc,,,Never-married,Craft-repair,Not-in-family,Male,,,30.0,United-States,<=50K
234,Private,,10.0,,Exec-managerial,Not-in-family,Female,0.0,0.0,38.0,,
235,Private,32958.0,10.0,Separated,Adm-clerical,Other-relative,,0.0,0.0,,,
236,Self-emp-not-inc,,,Divorced,Other-service,Not-in-family,Female,,,35.0,United-States,<=50K
237,Private,63042.0,9.0,Married-civ-spouse,Sales,Wife,,0.0,0.0,,,
238,Private,,,Married-civ-spouse,Machine-op-inspct,Wife,Female,,,40.0,United-States,>50K
239,Self-emp-inc,,,Divorced,Exec-managerial,Not-in-family,Female,,,50.0,United-States,<=50K
240,Private,,9.0,,Other-service,Husband,Male,7688.0,0.0,40.0,,
241,Private,184882.0,11.0,Married-civ-spouse,Transport-moving,Husband,,5178.0,0.0,,,
242,Private,405284.0,,Never-married,Prof-specialty,Not-in-family,,0.0,1340.0,,,
243,Private,,,Married-civ-spouse,Prof-specialty,Husband,Male,,,60.0,United-States,>50K
244,Private,,9.0,,Craft-repair,Husband,Male,0.0,0.0,40.0,,
245,Private,,13.0,,Exec-managerial,Husband,Male,0.0,0.0,40.0,,
246,Private,99830.0,10.0,Married-civ-spouse,Craft-repair,Husband,,0.0,0.0,,,
247,Private,,,Never-married,Adm-clerical,Own-child,Male,,,40.0,United-States,<=50K
248,Private,,,Separated,Adm-clerical,Not-in-family,Male,,,37.0,United-States,<=50K
249,Private,,14.0,,Prof-specialty,Husband,Male,0.0,1977.0,60.0,,
250,Private,,,Married-civ-spouse,Other-service,Husband,Male,,,40.0,United-States,<=50K
251,Private,,,Married-civ-spouse,Craft-repair,Husband,Male,,,50.0,United-States,>50K
252,Self-emp-not-inc,,,Widowed,Other-service,Not-in-family,Female,,,25.0,Nicaragua,<=50K
253,Private,,13.0,,Sales,Unmarried,Male,0.0,0.0,40.0,,
254,Private,277946.0,9.0,Married-civ-spouse,Craft-repair,Husband,,0.0,0.0,,,
255,Private,180010.0,10.0,Separated,Craft-repair,Unmarried,,0.0,0.0,,,
256,Private,,9.0,,Craft-repair,Husband,Male,0.0,0.0,40.0,,
257,Private,462869.0,9.0,Never-married,Handlers-cleaners,Other-relative,,0.0,0.0,,,
258,Private,,13.0,,Adm-clerical,Not-in-family,Female,0.0,0.0,55.0,,
259,Private,59496.0,,Married-civ-spouse,Sales,Husband,,2407.0,0.0,,,
260,Private,,,Married-civ-spouse,Tech-support,Husband,Male,,,45.0,China,>50K
261,,,10.0,,,Own-child,Female,0.0,0.0,40.0,,
262,Private,167170.0,9.0,Widowed,Machine-op-inspct,Not-in-family,,0.0,0.0,,,
263,Private,,13.0,,Other-service,Not-in-family,Male,0.0,0.0,40.0,,
264,Private,,,Never-married,Craft-repair,Not-in-family,Male,,,55.0,United-States,<=50K
265,Private,176162.0,13.0,Never-married,Handlers-cleaners,Own-child,,0.0,0.0,,,
266,Local-gov,,,Married-civ-spouse,Exec-managerial,Husband,Male,,,60.0,United-States,>50K
267,Private,,10.0,,Adm-clerical,Husband,Male,0.0,0.0,40.0,,
268,Private,,,Married-civ-spouse,Transport-moving,Husband,Male,,,99.0,United-States,>50K
269,Private,262092.0,13.0,Married-civ-spouse,Prof-specialty,Husband,,7298.0,0.0,,,
270,Private,230684.0,9.0,Married-civ-spouse,Machine-op-inspct,Husband,,0.0,0.0,,,
271,Private,,9.0,,Craft-repair,Own-child,Male,0.0,0.0,40.0,,
272,,,6.0,,,Not-in-family,Female,0.0,0.0,30.0,,
273,Private,,10.0,,Exec-managerial,Husband,Male,0.0,0.0,44.0,,
274,Local-gov,127491.0,9.0,Separated,Adm-clerical,Not-in-family,,5721.0,0.0,,,
275,Private,,,Married-civ-spouse,Sales,Husband,Male,,,45.0,United-States,<=50K
276,Private,,,Divorced,Adm-clerical,Unmarried,Female,,,40.0,United-States,<=50K
277,Private,,13.0,,Sales,Not-in-family,Male,0.0,1564.0,60.0,,
278,Self-emp-not-inc,,9.0,,Craft-repair,Not-in-family,Male,0.0,0.0,40.0,,
279,Private,60722.0,13.0,Never-married,Prof-specialty,Own-child,,0.0,0.0,,,
280,Private,,,Married-civ-spouse,Exec-managerial,Husband,Male,,,60.0,United-States,>50K
281,Private,,,Married-civ-spouse,Sales,Husband,Male,,,50.0,United-States,>50K
282,,111916.0,9.0,Married-civ-spouse,,Husband,,0.0,0.0,,,
283,State-gov,,,Divorced,Exec-managerial,Unmarried,Female,,,38.0,United-States,<=50K
284,Private,,,Divorced,Handlers-cleaners,Not-in-family,Male,,,40.0,United-States,<=50K
285,Self-emp-inc,,9.0,,Adm-clerical,Unmarried,Female,0.0,0.0,15.0,,
286,Private,,10.0,,Sales,Own-child,Male,0.0,0.0,20.0,,
287,Private,,,Married-civ-spouse,Sales,Husband,Male,,,55.0,United-States,<=50K
288,Private,231263.0,9.0,Married-civ-spouse,Sales,Husband,,0.0,0.0,,,
289,Private,,9.0,,Sales,Own-child,Female,0.0,0.0,30.0,,
290,Private,199336.0,10.0,Never-married,Machine-op-inspct,Own-child,,0.0,0.0,,,
291,Private,,,Divorced,Transport-moving,Not-in-family,Male,,,50.0,United-States,<=50K
292,Private,,13.0,,Other-service,Own-child,Female,0.0,0.0,40.0,,
293,Private,,,Never-married,Prof-specialty,Not-in-family,Male,,,40.0,United-States,>50K
294,Private,,,Divorced,Transport-moving,Not-in-family,Male,,,20.0,United-States,<=50K
295,Private,,,Never-married,Handlers-cleaners,Own-child,Male,,,40.0,United-States,<=50K
296,Self-emp-inc,,9.0,,Farming-fishing,Husband,Male,15024.0,0.0,40.0,,
297,Private,65584.0,10.0,Separated,Adm-clerical,Unmarried,,0.0,0.0,,,
298,Local-gov,296085.0,12.0,Married-civ-spouse,Prof-specialty,Husband,,0.0,0.0,,,
299,Private,258832.0,9.0,Never-married,Other-service,Other-relative,,0.0,0.0,,,
300,Private,106085.0,9.0,Never-married,Other-service,Own-child,,0.0,1721.0,,,
301,Self-emp-not-inc,274158.0,10.0,Married-civ-spouse,Machine-op-inspct,Husband,,0.0,0.0,,,
302,Private,758700.0,5.0,Married-civ-spouse,Handlers-cleaners,Husband,,3781.0,0.0,,,
303,Private,,9.0,,Other-service,Unmarried,Female,0.0,0.0,40.0,,
304,Private,,,Never-married,Other-service,Own-child,Female,,,18.0,United-States,<=50K
305,,,,Married-civ-spouse,,Husband,Male,,,8.0,United-States,<=50K
306,Private,,7.0,,Craft-repair,Not-in-family,Male,0.0,0.0,60.0,,
307,Local-gov,,14.0,,Prof-specialty,Not-in-family,Female,0.0,0.0,50.0,,
308,Private,,,Never-married,Machine-op-inspct,Not-in-family,Female,,,35.0,United-States,<=50K
309,Self-emp-not-inc,,12.0,,Craft-repair,Not-in-family,Male,0.0,0.0,50.0,,
310,Private,,9.0,,Handlers-cleaners,Unmarried,Male,0.0,0.0,55.0,,
311,Private,,10.0,,Other-service,Husband,Male,0.0,0.0,55.0,,
312,Private,,3.0,,Machine-op-inspct,Own-child,Male,0.0,0.0,20.0,,
