age,workclass,education,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,salary
,Private,,Divorced,Sales,Not-in-family,,Male,40.0,United-States,<=50K
37.0,,Some-college,,,,White,Male,40.0,United-States,<=50K
37.0,,HS-grad,,,,Asian-Pac-Islander,Female,38.0,Japan,<=50K
,Private,,Married-civ-spouse,Other-service,Husband,,Male,24.0,United-States,<=50K
57.0,,HS-grad,,,,White,Male,30.0,United-States,<=50K
,Private,,Never-married,Exec-managerial,Own-child,,Female,40.0,United-States,<=50K
49.0,,9th,,,,White,Male,40.0,United-States,<=50K
19.0,,Some-college,,,,White,Male,30.0,United-States,<=50K
46.0,,HS-grad,,,,White,Male,48.0,United-States,>50K
,Private,,Never-married,Other-service,Unmarried,,Female,40.0,Puerto-Rico,<=50K
,Private,,Never-married,Adm-clerical,Not-in-family,,Male,40.0,United-States,<=50K
,Private,,Married-civ-spouse,Craft-repair,Husband,,Male,42.0,United-States,>50K
36.0,,Assoc-acdm,,,,White,Female,40.0,United-States,<=50K
47.0,,,,,,Black,Female,40.0,United-States,<=50K
,Private,,Married-civ-spouse,Exec-managerial,Husband,,Male,50.0,United-States,>50K
,,,Never-married,,Unmarried,,Female,40.0,United-States,<=50K
,Private,,Married-civ-spouse,Craft-repair,Husband,,Male,40.0,United-States,>50K
,Local-gov,,Never-married,Protective-serv,Not-in-family,,Female,50.0,United-States,<=50K
58.0,,HS-grad,,,,White,Male,40.0,United-States,<=50K
54.0,,,,,,White,Male,40.0,Canada,<=50K
,Self-emp-not-inc,,Never-married,Other-service,Unmarried,,Female,40.0,United-States,<=50K
45.0,,Doctorate,,,,White,Male,40.0,Poland,>50K
,Private,,Married-civ-spouse,Prof-specialty,Husband,,Male,55.0,United-States,<=50K
,,,Never-married,,Not-in-family,,Male,40.0,United-States,<=50K
,Private,,Never-married,Handlers-cleaners,Own-child,,Male,40.0,United-States,<=50K
28.0,,,,,,Black,Female,45.0,Jamaica,<=50K
30.0,,Bachelors,,,,White,Male,30.0,Japan,<=50K
70.0,,,,,,White,Male,40.0,United-States,<=50K
28.0,,Some-college,,,,White,Male,55.0,United-States,<=50K
,Private,,Married-civ-spouse,Prof-specialty,Husband,,Male,56.0,United-States,>50K
25.0,,11th,,,,White,Female,40.0,United-States,<=50K
47.0,,Some-college,,,,White,Male,72.0,United-States,<=50K
46.0,,HS-grad,,,,White,Male,50.0,United-States,<=50K
24.0,,HS-grad,,,,White,Female,40.0,United-States,<=50K
,Private,,Never-married,Handlers-cleaners,Other-relative,,Male,20.0,United-States,<=50K
,Private,,Married-civ-spouse,Machine-op-inspct,Husband,,Male,40.0,United-States,<=50K
36.0,,HS-grad,,,,White,Female,40.0,United-States,<=50K
31.0,,Some-college,,,,White,Male,40.0,United-States,<=50K
,Private,,Married-civ-spouse,Craft-repair,Husband,,Male,48.0,United-States,>50K
,Local-gov,,Married-civ-spouse,Prof-specialty,Husband,,Male,10.0,United-States,>50K
29.0,,HS-grad,,,,White,Male,60.0,United-States,<=50K
,Private,,Never-married,Exec-managerial,Not-in-family,,Male,40.0,United-States,<=50K
,Self-emp-not-inc,,Never-married,Craft-repair,Not-in-family,,Male,30.0,United-States,<=50K
36.0,,Some-college,,,,White,Female,40.0,United-States,<=50K
,Self-emp-not-inc,,Divorced,Other-service,Not-in-family,,Female,35.0,United-States,<=50K
41.0,,HS-grad,,,,White,Female,20.0,United-States,<=50K
,Private,,Married-civ-spouse,Machine-op-inspct,Wife,,Female,40.0,United-States,>50K
,Self-emp-inc,,Divorced,Exec-managerial,Not-in-family,,Female,50.0,United-States,<=50K
55.0,,Assoc-voc,,,,White,Male,50.0,United-States,>50K
37.0,,13,,,,White,Female,42.0,United-States,<=50K
,Private,,Married-civ-spouse,Prof-specialty,Husband,,Male,60.0,United-States,>50K
44.0,,Some-college,,,,White,Male,65.0,United-States,<=50K
,Private,,Never-married,Adm-clerical,Own-child,,Male,40.0,United-States,<=50K
,Private,,Separated,Adm-clerical,Not-in-family,,Male,37.0,United-States,<=50K
,Private,,Married-civ-spouse,Other-service,Husband,,Male,40.0,United-States,<=50K
,Private,,Married-civ-spouse,Craft-repair,Husband,,Male,50.0,United-States,>50K
,Self-emp-not-inc,,Widowed,Other-service,Not-in-family,,Female,25.0,Nicaragua,<=50K
48.0,,HS-grad,,,,White,Male,40.0,United-States,<=50K
48.0,,Some-college,,,,White,Female,40.0,United-States,<=50K
25.0,,HS-grad,,,,White,Male,40.0,Mexico,<=50K
30.0,,Bachelors,,,,White,Male,40.0,United-States,<=50K
,Private,,Married-civ-spouse,Tech-support,Husband,,Male,45.0,China,>50K
53.0,,HS-grad,,,,Black,Female,40.0,United-States,<=50K
,Private,,Never-married,Craft-repair,Not-in-family,,Male,55.0,United-States,<=50K
25.0,,Bachelors,,,,White,Male,40.0,United-States,<=50K
,Local-gov,,Married-civ-spouse,Exec-managerial,Husband,,Male,60.0,United-States,>50K
,Private,,Married-civ-spouse,Transport-moving,Husband,,Male,99.0,United-States,>50K
32.0,,Bachelors,,,,White,Male,50.0,United-States,>50K
43.0,,,,,,White,Male,40.0,United-States,>50K
28.0,,HS-grad,,,,White,Female,40.0,United-States,<=50K
,Private,,Married-civ-spouse,Sales,Husband,,Male,45.0,United-States,<=50K
,Private,,Divorced,Adm-clerical,Unmarried,,Female,40.0,United-States,<=50K
26.0,,Bachelors,,,,Asian-Pac-Islander,Female,40.0,United-States,<=50K
,Private,,Married-civ-spouse,Exec-managerial,Husband,,Male,60.0,United-States,>50K
,Private,,Married-civ-spouse,Sales,Husband,,Male,50.0,United-States,>50K
65.0,,HS-grad,,,,White,Male,40.0,United-States,<=50K
,State-gov,,Divorced,Exec-managerial,Unmarried,,Female,38.0,United-States,<=50K
,Private,,Divorced,Handlers-cleaners,Not-in-family,,Male,40.0,United-States,<=50K
,Private,,Married-civ-spouse,Sales,Husband,,Male,55.0,United-States,<=50K
30.0,,HS-grad,,,,White,Male,40.0,United-States,<=50K
22.0,,Some-college,,,,White,Male,25.0,United-States,<=50K
,Private,,Divorced,Transport-moving,Not-in-family,,Male,50.0,United-States,<=50K
,Private,,Never-married,Prof-specialty,Not-in-family,,Male,40.0,United-States,>50K
,Private,,Divorced,Transport-moving,Not-in-family,,Male,20.0,United-States,<=50K
,Private,,Never-married,Handlers-cleaners,Own-child,,Male,40.0,United-States,<=50K
48.0,,Some-college,,,,White,Female,40.0,United-States,<=50K
55.0,,Assoc-acdm,,,,Asian-Pac-Islander,Male,40.0,United-States,>50K
53.0,,HS-grad,,,,Asian-Pac-Islander,Male,10.0,Philippines,<=50K
24.0,,HS-grad,,,,Black,Male,30.0,United-States,<=50K
41.0,,Some-college,,,,White,Male,30.0,United-States,<=50K
37.0,,9th,,,,White,Male,50.0,Mexico,<=50K
,Private,,Never-married,Other-service,Own-child,,Female,18.0,United-States,<=50K
,,,Married-civ-spouse,,Husband,,Male,8.0,United-States,<=50K
,Private,,Never-married,Machine-op-inspct,Not-in-family,,Female,35.0,United-States,<=50K
55.0,,Masters,,,,White,Male,62.0,United-States,>50K
38.0,,HS-grad,,,,White,Male,40.0,United-States,<=50K
41.0,,Masters,,,,White,Female,40.0,United-States,<=50K
,Private,,Divorced,Adm-clerical,Not-in-family,,Male,40.0,United-States,<=50K
55.0,,12,,,,Black,Female,30.0,United-States,<=50K
46.0,,HS-grad,,,,White,Female,40.0,United-States,<=50K
17.0,,10th,,,,White,Male,10.0,United-States,<=50K
42.0,,Some-college,,,,White,Female,40.0,United-States,<=50K
31.0,,HS-grad,,,,White,Male,40.0,United-States,<=50K
61.0,,1st-4th,,,,White,Male,60.0,United-States,>50K
25.0,,,,,,Black,Male,40.0,,<=50K
40.0,,Assoc-voc,,,,White,Male,15.0,United-States,<=50K
35.0,,HS-grad,,,,Black,Male,40.0,United-States,<=50K
,Private,,Never-married,Other-service,Not-in-family,,Male,38.0,United-States,<=50K
25.0,,Bachelors,,,,White,Male,40.0,United-States,<=50K
20.0,,Some-college,,,,White,Male,25.0,United-States,<=50K
,Self-emp-not-inc,,Never-married,Craft-repair,Own-child,,Male,50.0,Mexico,<=50K
44.0,,Some-college,,,,White,Male,80.0,United-States,<=50K
,Local-gov,,Never-married,Adm-clerical,Own-child,,Female,48.0,United-States,<=50K
,Private,,Married-civ-spouse,Craft-repair,Husband,,Male,40.0,United-States,>50K
,Private,,Married-civ-spouse,Exec-managerial,Husband,,Male,40.0,United-States,>50K
,Private,,Married-civ-spouse,Sales,Husband,,Male,60.0,United-States,>50K
28.0,,10th,,,,White,Female,40.0,United-States,<=50K
,Private,,Married-civ-spouse,Prof-specialty,Husband,,Male,40.0,United-States,<=50K
23.0,,Bachelors,,,,White,Female,40.0,United-States,<=50K
,Private,,Married-civ-spouse,Other-service,Wife,,Female,40.0,United-States,<=50K
,,,Never-married,,Other-relative,,Female,40.0,United-States,<=50K
49.0,,HS-grad,,,,White,Male,30.0,Hungary,<=50K
20.0,,HS-grad,,,,White,Male,30.0,United-States,<=50K
32.0,,Some-college,,,,White,Male,50.0,United-States,<=50K
,Private,,Married-civ-spouse,Sales,Husband,,Male,40.0,United-States,<=50K
29.0,,Masters,,,,White,Female,50.0,United-States,>50K
35.0,,12th,,,,White,Male,40.0,United-States,<=50K
,Private,,Married-civ-spouse,Craft-repair,Husband,,Male,45.0,United-States,<=50K
,Private,,Separated,Adm-clerical,Other-relative,,Male,46.0,United-States,<=50K
,Private,,Divorced,Other-service,Not-in-family,,Male,40.0,United-States,<=50K
51.0,,Masters,,,,White,Male,40.0,United-States,<=50K
62.0,,,,,,Black,Male,40.0,United-States,<=50K
51.0,,HS-grad,,,,White,Male,50.0,United-States,>50K
,,,Never-married,,Own-child,,Female,6.0,United-States,<=50K
57.0,,Masters,,,,White,Male,50.0,United-States,>50K
35.0,,HS-grad,,,,White,Male,40.0,United-States,<=50K
,Private,,Never-married,Craft-repair,Not-in-family,,Male,40.0,United-States,<=50K
33.0,,HS-grad,,,,White,Male,40.0,United-States,<=50K
,Private,,Married-civ-spouse,Sales,Husband,,Male,40.0,United-States,>50K
42.0,,13,,,,White,Male,40.0,United-States,>50K
72.0,,7th-8th,,,,White,Male,30.0,United-States,<=50K
43.0,,Bachelors,,,,White,Male,40.0,United-States,<=50K
33.0,,Bachelors,,,,White,Male,40.0,United-States,>50K
33.0,,HS-grad,,,,White,Male,48.0,United-States,>50K
42.0,,Masters,,,,White,Male,40.0,United-States,>50K
59.0,,HS-grad,,,,White,Female,40.0,United-States,<=50K
,State-gov,,Married-civ-spouse,Prof-specialty,Husband,,Male,60.0,United-States,>50K
24.0,,HS-grad,,,,White,Female,40.0,United-States,<=50K
20.0,,HS-grad,,,,White,Male,40.0,United-States,<=50K
54.0,,9th,,,,White,Female,15.0,United-States,<=50K
51.0,,Masters,,,,White,Male,40.0,United-States,>50K
,State-gov,,Married-civ-spouse,Exec-managerial,Wife,,Female,55.0,United-States,>50K
19.0,,Some-college,,,,White,Male,30.0,United-States,<=50K
55.0,,,,,,White,Male,48.0,United-States,>50K
50.0,,HS-grad,,,,White,Male,58.0,United-States,<=50K
,Private,,Married-civ-spouse,Prof-specialty,Husband,,Male,50.0,United-States,>50K
,State-gov,,Married-civ-spouse,Protective-serv,Own-child,,Male,35.0,United-States,<=50K
17.0,,,,,,White,Female,20.0,United-States,<=50K
,,,Married-civ-spouse,,Other-relative,,Female,32.0,United-States,<=50K
,Private,,Married-civ-spouse,Craft-repair,Husband,,Male,40.0,United-States,<=50K
,State-gov,,Divorced,Adm-clerical,Unmarried,,Male,38.0,United-States,>50K
,Private,,Married-civ-spouse,Craft-repair,Husband,,Male,40.0,United-States,<=50K
,Self-emp-not-inc,,Married-civ-spouse,Farming-fishing,Husband,,Male,60.0,United-States,<=50K
33.0,,11,,,,White,Male,25.0,United-States,<=50K
,Private,,Never-married,Farming-fishing,Not-in-family,,Male,36.0,Mexico,<=50K
40.0,,HS-grad,,,,White,Female,4.0,United-States,<=50K
,Private,,Married-civ-spouse,Craft-repair,Husband,,Male,50.0,United-States,<=50K
,Private,,Never-married,Tech-support,Not-in-family,,Male,40.0,United-States,<=50K
,Private,,Married-civ-spouse,Sales,Husband,,Male,60.0,United-States,>50K
,Private,,Never-married,Handlers-cleaners,Own-child,,Male,20.0,Peru,<=50K
18.0,,11th,,,,White,Male,20.0,United-States,<=50K
,Local-gov,,Married-civ-spouse,Prof-specialty,Husband,,Male,60.0,United-States,>50K
,Private,,Never-married,Handlers-cleaners,Not-in-family,,Male,40.0,,<=50K
,Private,,Married-civ-spouse,Tech-support,Husband,,Male,44.0,United-States,>50K
27.0,,HS-grad,,,,White,Male,45.0,United-States,<=50K
,Private,,Never-married,Sales,Other-relative,,Female,10.0,United-States,<=50K
55.0,,Some-college,,,,White,Female,40.0,United-States,<=50K
,Self-emp-not-inc,,Widowed,Prof-specialty,Not-in-family,,Female,20.0,United-States,<=50K
22.0,,HS-grad,,,,Black,Male,40.0,United-States,<=50K
,Self-emp-not-inc,,Married-civ-spouse,Craft-repair,Husband,,Male,40.0,United-States,<=50K
,Private,,Married-civ-spouse,Prof-specialty,Husband,,Male,40.0,United-States,>50K
46.0,,HS-grad,,,,White,Female,12.0,United-States,>50K
,Private,,Married-civ-spouse,Exec-managerial,Husband,,Male,45.0,United-States,>50K
21.0,,Some-college,,,,Black,Male,40.0,United-States,<=50K
,Private,,Never-married,Other-service,Own-child,,Male,24.0,United-States,<=50K
,Private,,Never-married,Sales,Unmarried,,Female,55.0,,<=50K
46.0,,Bachelors,,,,Black,Male,40.0,United-States,>50K
24.0,,Bachelors,,,,White,Male,45.0,United-States,<=50K
53.0,,10th,,,,White,Male,40.0,United-States,<=50K
32.0,,Bachelors,,,,White,Male,40.0,United-States,>50K
26.0,,Masters,,,,White,Male,40.0,United-States,>50K
20.0,,Some-college,,,,White,Female,15.0,United-States,<=50K
52.0,,Some-college,,,,White,Male,65.0,United-States,>50K
,Local-gov,,Never-married,Prof-specialty,Not-in-family,,Female,50.0,United-States,<=50K
46.0,,Some-college,,,,Black,Male,60.0,United-States,>50K
,Private,,Married-civ-spouse,Craft-repair,Husband,,Male,50.0,United-States,>50K
,State-gov,,Married-civ-spouse,Craft-repair,Husband,,Male,40.0,United-States,<=50K
74.0,,,,,,White,Male,2.0,United-States,<=50K
,Private,,Never-married,Transport-moving,Not-in-family,,Male,50.0,United-States,<=50K
60.0,,Bachelors,,,,White,Male,40.0,United-States,>50K
,Private,,Married-spouse-absent,Sales,Unmarried,,Male,40.0,United-States,<=50K
,Self-emp-not-inc,,Married-civ-spouse,Prof-specialty,Wife,,Female,60.0,Canada,<=50K
38.0,,Bachelors,,,,White,Male,60.0,United-States,<=50K
19.0,,HS-grad,,,,White,Female,25.0,United-States,<=50K
70.0,,5th-6th,,,,Black,Male,40.0,Cuba,<=50K
,Private,,Married-spouse-absent,Other-service,Not-in-family,,Male,40.0,Mexico,<=50K
31.0,,HS-grad,,,,White,Male,40.0,United-States,<=50K
35.0,Private,Bachelors,Never-married,Handlers-cleaners,Own-child,Asian-Pac-Islander,Male,,United-States,
,Private,,Married-civ-spouse,Craft-repair,Husband,,Male,50.0,United-States,<=50K
38.0,,Bachelors,,,,White,Female,50.0,United-States,<=50K
,Self-emp-not-inc,,Married-civ-spouse,Prof-specialty,Husband,,Male,50.0,United-States,>50K
,Private,,Married-civ-spouse,Sales,Husband,,Male,40.0,United-States,>50K
41.0,,HS-grad,,,,White,Male,55.0,United-States,<=50K
55.0,,Some-college,,,,White,Male,40.0,United-States,<=50K
,Self-emp-not-inc,,Married-civ-spouse,Prof-specialty,Husband,,Male,45.0,United-States,>50K
17.0,,11th,,,,White,Male,40.0,United-States,<=50K
57.0,,HS-grad,,,,White,Male,50.0,United-States,<=50K
,Private,,Widowed,Adm-clerical,Unmarried,,Female,40.0,United-States,<=50K
37.0,,Some-college,,,,White,Male,40.0,United-States,<=50K
,Private,,Never-married,Exec-managerial,Own-child,,Female,40.0,United-States,>50K
,Private,,Married-civ-spouse,Adm-clerical,Husband,,Male,45.0,United-States,>50K
,Private,,Married-civ-spouse,Sales,Husband,,Male,30.0,United-States,<=50K
,Private,,Never-married,Craft-repair,Own-child,,Male,40.0,El-Salvador,<=50K
,Private,,Never-married,Machine-op-inspct,Own-child,,Female,40.0,United-States,<=50K
,,,Married-civ-spouse,,Husband,,Male,16.0,United-States,<=50K
,State-gov,,Married-civ-spouse,Prof-specialty,Husband,,Male,40.0,United-States,>50K
,Local-gov,,Widowed,Exec-managerial,Unmarried,,Female,40.0,United-States,<=50K
22.0,,10th,,,,White,Male,40.0,United-States,<=50K
36.0,,Some-college,,,,White,Male,40.0,United-States,<=50K
56.0,,Bachelors,,,,White,Male,40.0,United-States,>50K
41.0,,HS-grad,,,,Other,Female,40.0,United-States,<=50K
60.0,,9th,,,,White,Male,67.0,United-States,>50K
81.0,,Some-college,,,,White,Male,25.0,Greece,<=50K
,Self-emp-not-inc,,Divorced,Sales,Unmarried,,Female,35.0,United-States,<=50K
,Private,,Never-married,Sales,Not-in-family,,Female,45.0,United-States,<=50K
64.0,,5th-6th,,,,White,Female,20.0,Cuba,<=50K
,Private,,Never-married,Adm-clerical,Own-child,,Female,25.0,United-States,<=50K
,Private,,Married-civ-spouse,Tech-support,Other-relative,,Female,40.0,United-States,<=50K
19.0,,10th,,,,Black,Female,40.0,United-States,<=50K
,State-gov,,Divorced,Adm-clerical,Unmarried,,Female,40.0,United-States,<=50K
,Private,,Married-civ-spouse,Exec-managerial,Wife,,Female,48.0,United-States,>50K
,Private,,Married-civ-spouse,Sales,Husband,,Male,42.0,United-States,<=50K
26.0,,Some-college,,,,Asian-Pac-Islander,Male,40.0,United-States,<=50K
,Local-gov,,Married-civ-spouse,Other-service,Husband,,Male,40.0,United-States,<=50K
31.0,,10th,,,,White,Female,28.0,Mexico,<=50K
60.0,,Bachelors,,,,White,Female,30.0,United-States,<=50K
20.0,,Some-college,,,,White,Female,40.0,United-States,<=50K
,Private,,Never-married,Farming-fishing,Own-child,,Female,30.0,United-States,<=50K
,,,Never-married,,Own-child,,Male,20.0,United-States,<=50K
,Private,,Divorced,Craft-repair,Unmarried,,Male,40.0,United-States,<=50K
20.0,,10,,,,Black,Male,15.0,United-States,<=50K
,Private,,Married-civ-spouse,Craft-repair,Husband,,Male,50.0,United-States,>50K
,Local-gov,,Married-civ-spouse,Craft-repair,Husband,,Male,40.0,United-States,<=50K
,State-gov,,Never-married,Transport-moving,Own-child,,Male,40.0,United-States,<=50K
54.0,,Bachelors,,,,White,Male,40.0,United-States,>50K
,Private,,Never-married,Sales,Own-child,,Female,20.0,United-States,<=50K
,State-gov,,Never-married,Prof-specialty,Not-in-family,,Male,77.0,United-States,<=50K
58.0,,Prof-school,,,,White,Male,45.0,United-States,>50K
,Private,,Divorced,Adm-clerical,Own-child,,Female,40.0,United-States,<=50K
40.0,,Prof-school,,,,White,Female,40.0,Cuba,<=50K
19.0,,Some-college,,,,Amer-Indian-Eskimo,Female,40.0,United-States,<=50K
38.0,,HS-grad,,,,White,Male,50.0,United-States,>50K
,Private,,Separated,Adm-clerical,Unmarried,,Female,40.0,United-States,>50K
50.0,,11th,,,,Black,Male,40.0,United-States,<=50K
,Private,,Married-AF-spouse,Adm-clerical,Husband,,Male,60.0,United-States,<=50K
29.0,,Some-college,,,,White,Female,40.0,United-States,<=50K
25.0,,HS-grad,,,,White,Male,35.0,United-States,<=50K
23.0,,Some-college,,,,Black,Male,80.0,United-States,<=50K
38.0,,HS-grad,,,,White,Male,40.0,United-States,<=50K
68.0,,Some-college,,,,Black,Female,40.0,United-States,<=50K
23.0,,Some-college,,,,White,Male,40.0,United-States,<=50K
,Private,,Married-civ-spouse,Sales,Husband,,Male,45.0,United-States,>50K
