age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,capital-gain,capital-loss,native-country,salary
,Private,277946.0,,9.0,Married-civ-spouse,Craft-repair,Husband,,0.0,0.0,,
,Private,180010.0,,10.0,Separated,Craft-repair,Unmarried,,0.0,0.0,,
66.0,,147766.0,HS-grad,,Married-civ-spouse,,,White,,,United-States,>50K
,Private,462869.0,,9.0,Never-married,Handlers-cleaners,Other-relative,,0.0,0.0,,
28.0,,165218.0,Bachelors,,Never-married,,,White,,,United-States,<=50K
,Private,59496.0,,,Married-civ-spouse,Sales,Husband,,2407.0,0.0,,
20.0,,25139.0,Some-college,,Never-married,,,White,,,United-States,<=50K
,Private,167170.0,,9.0,Widowed,Machine-op-inspct,Not-in-family,,0.0,0.0,,
34.0,,346034.0,Bachelors,,Never-married,,,White,,,El-Salvador,<=50K
,Private,176162.0,,13.0,Never-married,Handlers-cleaners,Own-child,,0.0,0.0,,
34.0,,193036.0,Some-college,,Married-civ-spouse,,,Black,,,United-States,>50K
,Private,262092.0,,13.0,Married-civ-spouse,Prof-specialty,Husband,,7298.0,0.0,,
,Private,230684.0,,9.0,Married-civ-spouse,Machine-op-inspct,Husband,,0.0,0.0,,
20.0,,119665.0,HS-grad,,Never-married,,,White,,,United-States,<=50K
62.0,,181063.0,10th,,Widowed,,,White,,,United-States,<=50K
38.0,,183279.0,Some-college,,Married-civ-spouse,,,White,,,United-States,>50K
,Local-gov,127491.0,,9.0,Separated,Adm-clerical,Not-in-family,,5721.0,0.0,,
40.0,,179717.0,Bachelors,,Divorced,,,White,,,United-States,>50K
41.0,,190290.0,HS-grad,,Divorced,,,White,,,United-States,<=50K
,Private,60722.0,,13.0,Never-married,Prof-specialty,Own-child,,0.0,0.0,,
,,111916.0,,9.0,Married-civ-spouse,,Husband,,0.0,0.0,,
40.0,,209344.0,HS-grad,,Divorced,,,White,,,,<=50K
20.0,,182661.0,Some-college,,Never-married,,,Black,,,United-States,<=50K
,Private,231263.0,,9.0,Married-civ-spouse,Sales,Husband,,0.0,0.0,,
21.0,,34918.0,HS-grad,,Never-married,,,White,,,United-States,<=50K
,Private,199336.0,,10.0,Never-married,Machine-op-inspct,Own-child,,0.0,0.0,,
35.0,,110013.0,Bachelors,,Divorced,,,White,,,United-States,<=50K
46.0,,40666.0,HS-grad,,Married-civ-spouse,,,White,,,United-States,>50K
,Private,65584.0,,10.0,Separated,Adm-clerical,Unmarried,,0.0,0.0,,
,Local-gov,296085.0,,12.0,Married-civ-spouse,Prof-specialty,Husband,,0.0,0.0,,
,Private,258832.0,,9.0,Never-married,Other-service,Other-relative,,0.0,0.0,,
,Private,106085.0,,9.0,Never-married,Other-service,Own-child,,0.0,1721.0,,
,Self-emp-not-inc,274158.0,,10.0,Married-civ-spouse,Machine-op-inspct,Husband,,0.0,0.0,,
,Private,758700.0,,5.0,Married-civ-spouse,Handlers-cleaners,Husband,,3781.0,0.0,,
29.0,,370494.0,HS-grad,,Never-married,,,White,,,Mexico,<=50K
28.0,,410216.0,11th,,Married-civ-spouse,,,White,,,United-States,>50K
31.0,,50649.0,Masters,,Never-married,,,White,,,United-States,<=50K
31.0,,369648.0,Assoc-acdm,,Married-civ-spouse,,,White,,,United-States,>50K
30.0,,91145.0,HS-grad,,Never-married,,,White,,,United-States,<=50K
31.0,,273818.0,Some-college,,Married-civ-spouse,,,White,,,Mexico,<=50K
47.0,,88564.0,5th-6th,,Never-married,,,White,,,United-States,<=50K
51.0,,29887.0,HS-grad,,Divorced,,,White,,,United-States,<=50K
,Private,322691.0,,14.0,Widowed,Exec-managerial,Own-child,,0.0,0.0,,
,Private,126675.0,,9.0,Divorced,Craft-repair,Not-in-family,,0.0,2205.0,,
,Private,147099.0,,14.0,Divorced,Exec-managerial,Unmarried,,0.0,0.0,,
,Private,171780.0,,,Divorced,Sales,Unmarried,,0.0,0.0,,
,Private,191821.0,,9.0,Divorced,Sales,Not-in-family,,0.0,0.0,,
,Private,228253.0,,6.0,Never-married,Handlers-cleaners,Own-child,,0.0,0.0,,
45.0,,102318.0,Assoc-voc,,Married-civ-spouse,,,White,,,United-States,>50K
,State-gov,396758.0,,10.0,Divorced,Prof-specialty,Own-child,,0.0,0.0,,
,Private,191834.0,,9.0,Divorced,Machine-op-inspct,Other-relative,,0.0,0.0,,
33.0,,106014.0,Bachelors,,Divorced,,,White,,,United-States,<=50K
,Private,56248.0,,2.0,Married-civ-spouse,Machine-op-inspct,Husband,,0.0,0.0,,
,,237865.0,,10.0,Never-married,,Own-child,,0.0,0.0,,
,,273425.0,,11.0,Married-civ-spouse,,Husband,,0.0,0.0,,
,Private,242094.0,,9.0,Married-civ-spouse,Other-service,Other-relative,,0.0,0.0,,
63.0,,117681.0,Assoc-voc,,Married-civ-spouse,,,White,,,United-States,<=50K
,Private,66935.0,,13.0,Never-married,Other-service,Other-relative,,0.0,0.0,,
,Local-gov,188950.0,,10.0,Never-married,Protective-serv,Own-child,,0.0,0.0,,
40.0,,202565.0,Assoc-acdm,,Married-civ-spouse,,,White,,,United-States,<=50K
39.0,,316211.0,Bachelors,,Never-married,,,White,,,United-States,>50K
,Self-emp-inc,33126.0,,10.0,Married-civ-spouse,Exec-managerial,Husband,,0.0,0.0,,
54.0,,118365.0,10th,,Divorced,,,Black,,,United-States,<=50K
44.0,,267717.0,Masters,,Married-civ-spouse,,,White,,,United-States,>50K
,Private,42881.0,,6.0,Divorced,Machine-op-inspct,Own-child,,0.0,0.0,,
,Private,117789.0,,13.0,Never-married,Adm-clerical,Own-child,,0.0,0.0,,
26.0,,176146.0,5th-6th,,Separated,,,Other,,,Mexico,<=50K
33.0,,274800.0,HS-grad,,Separated,,,Black,,,United-States,<=50K
49.0,,481987.0,HS-grad,,Married-civ-spouse,,,White,,,United-States,<=50K
34.0,,424988.0,9th,,Married-civ-spouse,,,White,,,Mexico,<=50K
76.0,,208843.0,7th-8th,,Widowed,,,White,,,United-States,<=50K
45.0,,34248.0,HS-grad,,Married-civ-spouse,,,White,,,United-States,<=50K
,Private,122066.0,,9.0,Married-civ-spouse,Exec-managerial,Husband,,0.0,0.0,,
,Private,305446.0,,9.0,Never-married,Other-service,Own-child,,0.0,0.0,,
,Private,200700.0,,10.0,Never-married,Sales,Not-in-family,,0.0,0.0,,
,Private,217424.0,,14.0,Never-married,Exec-managerial,Not-in-family,,0.0,0.0,,
,Private,141896.0,,8.0,Married-civ-spouse,Craft-repair,Husband,,0.0,0.0,,
29.0,,144808.0,Some-college,,Married-civ-spouse,,,Black,,,United-States,<=50K
,Local-gov,110965.0,,14.0,Never-married,Prof-specialty,Own-child,,0.0,0.0,,
28.0,,187160.0,Prof-school,,Divorced,,,White,,,United-States,<=50K
,Private,177028.0,,9.0,Married-civ-spouse,Protective-serv,Husband,,0.0,0.0,,
,Private,162745.0,,9.0,Married-civ-spouse,Craft-repair,Husband,,7298.0,0.0,,
68.0,,116993.0,15,,Widowed,,,White,,,United-States,>50K
37.0,,136749.0,HS-grad,,Never-married,,,White,,,United-States,<=50K
,Self-emp-inc,231781.0,,14.0,Married-civ-spouse,Exec-managerial,Husband,,0.0,0.0,,
25.0,,197303.0,Bachelors,,Never-married,,,White,,,United-States,<=50K
,Private,189382.0,,9.0,Divorced,Craft-repair,Not-in-family,,0.0,0.0,,
42.0,,297335.0,Assoc-acdm,,Married-spouse-absent,,,Asian-Pac-Islander,,,Laos,<=50K
,Private,194141.0,,9.0,Married-civ-spouse,Machine-op-inspct,Husband,,0.0,0.0,,
,Private,38389.0,,,Married-civ-spouse,Adm-clerical,Husband,,0.0,0.0,,
,,188009.0,,4.0,Divorced,,Not-in-family,,0.0,0.0,,
,Private,147510.0,,13.0,Divorced,Prof-specialty,Unmarried,,0.0,0.0,,
,Self-emp-not-inc,123424.0,,13.0,Married-civ-spouse,Exec-managerial,Husband,,0.0,0.0,,
,Private,133503.0,,9.0,Married-civ-spouse,Protective-serv,Husband,,7688.0,0.0,,
,Private,356934.0,,14.0,Married-civ-spouse,Exec-managerial,Husband,,0.0,0.0,,
,Private,159048.0,,9.0,Divorced,Other-service,Not-in-family,,0.0,0.0,,
23.0,,76432.0,Some-college,,Never-married,,,White,,,United-States,<=50K
,,152140.0,,9.0,Married-civ-spouse,,Wife,,0.0,0.0,,
,Private,133061.0,,9.0,Never-married,Handlers-cleaners,Own-child,,0.0,0.0,,
,,185936.0,,5.0,Divorced,,Not-in-family,,0.0,0.0,,
,Private,673764.0,,14.0,Never-married,Prof-specialty,Not-in-family,,27828.0,0.0,,
45.0,,28035.0,Some-college,,Never-married,,,White,,,United-States,<=50K
54.0,,307973.0,HS-grad,,Married-civ-spouse,,,White,,,United-States,>50K
27.0,,192384.0,Prof-school,,Married-civ-spouse,,,White,,,United-States,<=50K
43.0,,144778.0,HS-grad,,Married-civ-spouse,,,White,,,,<=50K
,,272166.0,,10.0,Never-married,,Own-child,,0.0,1602.0,,
,Private,188382.0,,10.0,Married-civ-spouse,Machine-op-inspct,Husband,,0.0,0.0,,
,Private,234037.0,,9.0,Married-civ-spouse,Machine-op-inspct,Husband,,0.0,0.0,,
,Private,153021.0,,8.0,Never-married,Sales,Own-child,,0.0,0.0,,
57.0,,165922.0,HS-grad,,Married-civ-spouse,,,White,,,United-States,<=50K
,Private,268996.0,,,Divorced,Sales,Not-in-family,,0.0,0.0,,
,,84232.0,,9.0,Never-married,,Not-in-family,,0.0,0.0,,
61.0,,202106.0,HS-grad,,Married-civ-spouse,,,White,,,United-States,>50K
27.0,,200500.0,7th-8th,,Married-civ-spouse,,,White,,,United-States,<=50K
17.0,,227960.0,11th,,Never-married,,,White,,,Puerto-Rico,<=50K
28.0,,123983.0,Masters,,Divorced,,,Asian-Pac-Islander,,,South,<=50K
31.0,,181751.0,HS-grad,,Divorced,,,White,,,United-States,<=50K
59.0,,98418.0,HS-grad,,Married-civ-spouse,,,White,,,United-States,<=50K
49.0,,318280.0,Bachelors,,Married-civ-spouse,,,White,,,United-States,>50K
,Private,170544.0,,7.0,Never-married,Handlers-cleaners,Own-child,,0.0,0.0,,
19.0,,234519.0,Some-college,,Never-married,,,White,,,United-States,<=50K
50.0,,200783.0,7th-8th,,Divorced,,,White,,,United-States,<=50K
56.0,,170066.0,HS-grad,,Married-civ-spouse,,,White,,,United-States,<=50K
37.0,,86551.0,Bachelors,,Married-civ-spouse,,,White,,,United-States,>50K
,Private,420351.0,,9.0,Never-married,Adm-clerical,Not-in-family,,0.0,0.0,,
,Private,181974.0,,10.0,Divorced,Adm-clerical,Not-in-family,,0.0,0.0,,
30.0,,84119.0,HS-grad,,Married-civ-spouse,,,White,,,United-States,>50K
37.0,,215310.0,HS-grad,,Married-civ-spouse,,,White,,,United-States,>50K
40.0,,199381.0,Masters,,Married-civ-spouse,,,White,,,United-States,>50K
38.0,,238980.0,Some-college,,Married-civ-spouse,,,White,,,United-States,<=50K
75.0,,207116.0,HS-grad,,Married-spouse-absent,,,White,,,United-States,<=50K
,Private,228465.0,,9.0,Married-civ-spouse,Transport-moving,Husband,,0.0,0.0,,
27.0,,144808.0,Some-college,,Never-married,,,Black,,,United-States,<=50K
54.0,,96710.0,HS-grad,,Married-civ-spouse,,,Black,,,United-States,<=50K
56.0,,398067.0,HS-grad,,Widowed,,,White,,,United-States,<=50K
,Private,132919.0,,9.0,Married-civ-spouse,Adm-clerical,Wife,,0.0,0.0,,
56.0,,110257.0,9,,Married-civ-spouse,,,White,,,United-States,<=50K
28.0,,147889.0,10th,,Married-AF-spouse,,,White,,,United-States,<=50K
27.0,,182637.0,15,,Married-civ-spouse,,,White,,,,>50K
,Private,278254.0,,10.0,Never-married,Handlers-cleaners,Own-child,,0.0,0.0,,
,Local-gov,195418.0,,13.0,Married-civ-spouse,Prof-specialty,Husband,,0.0,0.0,,
,Private,302195.0,,13.0,Never-married,Sales,Not-in-family,,0.0,0.0,,
21.0,,337766.0,Some-college,,Never-married,,,White,,,United-States,<=50K
,Private,104258.0,,6.0,Married-civ-spouse,Craft-repair,Husband,,0.0,0.0,,
,Self-emp-not-inc,112115.0,,13.0,Married-civ-spouse,Prof-specialty,Husband,,7688.0,0.0,,
,Private,164488.0,,14.0,Married-civ-spouse,Prof-specialty,Husband,,0.0,1887.0,,
,,210474.0,,10.0,Never-married,,Own-child,,0.0,0.0,,
,Self-emp-inc,415037.0,,10.0,Divorced,Exec-managerial,Not-in-family,,0.0,0.0,,
19.0,,172368.0,11th,,Never-married,,,White,,,United-States,<=50K
49.0,,65535.0,HS-grad,,Married-civ-spouse,,,White,,,United-States,<=50K
,Private,151107.0,,10.0,Married-civ-spouse,Sales,Husband,,0.0,1977.0,,
,,29866.0,,4.0,Married-civ-spouse,,Husband,,0.0,0.0,,
,Private,176360.0,,13.0,Married-civ-spouse,Sales,Husband,,0.0,0.0,,
36.0,,175643.0,HS-grad,,Married-civ-spouse,,,White,,,United-States,<=50K
,Self-emp-not-inc,403391.0,,13.0,Married-civ-spouse,Exec-managerial,Husband,,0.0,0.0,,
,Private,291429.0,,9.0,Never-married,Other-service,Own-child,,0.0,0.0,,
,,308689.0,,3.0,Married-civ-spouse,,Husband,,0.0,0.0,,
