,workclass,fnlwgt,education-num,marital-status,occupation,relationship,sex,capital-gain,capital-loss,hours-per-week
40,Private,83827.0,9.0,Divorced,Machine-op-inspct,Not-in-family,,0.0,0.0,
41,Self-emp-not-inc,,9.0,,Other-service,Not-in-family,Male,0.0,0.0,35.0
42,Self-emp-inc,,12.0,,Exec-managerial,Husband,Male,15024.0,0.0,55.0
43,Self-emp-inc,185497.0,13.0,Married-civ-spouse,Exec-managerial,Wife,,0.0,0.0,
44,Private,,10.0,,Adm-clerical,Own-child,Female,0.0,0.0,25.0
45,Private,,13.0,,Exec-managerial,Own-child,Female,0.0,0.0,40.0
46,Private,,13.0,,Prof-specialty,Own-child,Male,0.0,0.0,50.0
47,Private,,10.0,,Other-service,Own-child,Female,0.0,0.0,25.0
48,,339547.0,10.0,Married-civ-spouse,,Husband,,0.0,0.0,
49,Private,120910.0,9.0,Never-married,Other-service,Unmarried,,0.0,0.0,
50,Self-emp-not-inc,107846.0,9.0,Never-married,Protective-serv,Not-in-family,,0.0,0.0,
51,Private,,8.0,,Other-service,Own-child,Female,0.0,0.0,20.0
52,Private,,13.0,,Exec-managerial,Not-in-family,Male,0.0,0.0,40.0
53,Private,,10.0,,Prof-specialty,Own-child,Female,0.0,0.0,8.0
54,Private,,10.0,,Adm-clerical,Own-child,Female,0.0,0.0,20.0
55,Private,176239.0,5.0,Divorced,Other-service,Not-in-family,,0.0,0.0,
56,Private,351770.0,10.0,Divorced,Farming-fishing,Unmarried,,0.0,0.0,
57,Private,23698.0,9.0,Married-civ-spouse,Craft-repair,Husband,,0.0,0.0,
58,Self-emp-not-inc,145441.0,11.0,Married-civ-spouse,Craft-repair,Husband,,0.0,0.0,
59,,,10.0,,,Not-in-family,Female,0.0,0.0,25.0
60,Private,197207.0,13.0,Never-married,Prof-specialty,Not-in-family,,0.0,0.0,
61,,174525.0,9.0,Married-civ-spouse,,Husband,,3942.0,0.0,
62,Private,87561.0,12.0,Never-married,Tech-support,Not-in-family,,0.0,0.0,
63,Private,,9.0,,Handlers-cleaners,Husband,Male,0.0,0.0,40.0
64,Private,176219.0,,Married-civ-spouse,Machine-op-inspct,Husband,,0.0,0.0,
65,Private,,10.0,,Farming-fishing,Unmarried,Male,0.0,0.0,60.0
66,Private,188941.0,,Married-civ-spouse,Tech-support,Husband,,3908.0,0.0,
67,Private,,9.0,,Transport-moving,Not-in-family,Male,0.0,0.0,40.0
68,,226989.0,10.0,Married-spouse-absent,,Not-in-family,,0.0,0.0,
69,Private,338740.0,13.0,Married-civ-spouse,Craft-repair,Husband,,0.0,0.0,
70,Private,,10.0,,Craft-repair,Husband,Male,0.0,0.0,50.0
71,Private,,5.0,,Other-service,Own-child,Female,0.0,0.0,50.0
72,Private,,13.0,,Exec-managerial,Husband,Male,0.0,0.0,45.0
73,,161981.0,6.0,Never-married,,Own-child,,0.0,0.0,
74,Private,180765.0,7.0,Divorced,Other-service,Unmarried,,0.0,0.0,
75,Private,145098.0,10.0,Married-civ-spouse,Sales,Husband,,0.0,0.0,
76,Private,141642.0,9.0,Never-married,Other-service,Not-in-family,,0.0,0.0,
77,Self-emp-not-inc,203784.0,11.0,Married-civ-spouse,Farming-fishing,Husband,,0.0,0.0,
78,Private,,9.0,,Craft-repair,Own-child,Male,0.0,0.0,40.0
79,Private,99591.0,7.0,Never-married,Other-service,Own-child,,0.0,0.0,
80,Federal-gov,280167.0,14.0,Married-civ-spouse,Prof-specialty,Husband,,0.0,0.0,
81,Private,,6.0,,Other-service,Unmarried,Female,0.0,0.0,25.0
82,Federal-gov,368947.0,13.0,Never-married,Protective-serv,Not-in-family,,0.0,0.0,
83,State-gov,142757.0,9.0,Married-civ-spouse,Protective-serv,Husband,,0.0,0.0,
84,Private,198587.0,9.0,Never-married,Sales,Unmarried,,0.0,0.0,
85,Federal-gov,39181.0,16.0,Divorced,Exec-managerial,Not-in-family,,0.0,2559.0,
86,Self-emp-inc,,13.0,,Sales,Not-in-family,Male,0.0,0.0,50.0
87,Self-emp-inc,39844.0,9.0,Never-married,Transport-moving,Not-in-family,,0.0,0.0,
88,Federal-gov,,9.0,,Tech-support,Husband,Male,7298.0,0.0,50.0
89,Private,,6.0,,Other-service,Other-relative,Female,0.0,0.0,20.0
90,Private,,10.0,,Craft-repair,Other-relative,Male,0.0,0.0,40.0
91,Private,234220.0,9.0,Divorced,Machine-op-inspct,Own-child,,0.0,0.0,
92,,,10.0,,,Own-child,Male,0.0,0.0,32.0
93,Self-emp-not-inc,220148.0,9.0,Married-civ-spouse,Exec-managerial,Husband,,0.0,0.0,
94,Private,,10.0,,Sales,Husband,Male,0.0,0.0,40.0
95,Private,210095.0,7.0,Married-spouse-absent,Handlers-cleaners,Not-in-family,,0.0,0.0,
96,Local-gov,,10.0,,Protective-serv,Husband,Male,0.0,0.0,48.0
97,Private,91257.0,9.0,Married-civ-spouse,Other-service,Husband,,0.0,0.0,
98,Private,183594.0,9.0,Never-married,Adm-clerical,Other-relative,,0.0,0.0,
99,Local-gov,74056.0,13.0,Never-married,Tech-support,Not-in-family,,0.0,0.0,
100,Private,,13.0,,Sales,Husband,Male,15024.0,0.0,50.0
101,State-gov,62726.0,10.0,Divorced,Other-service,Not-in-family,,0.0,0.0,
102,Private,,9.0,,Machine-op-inspct,Not-in-family,Female,0.0,0.0,40.0
103,,191140.0,10.0,Never-married,,Own-child,,0.0,0.0,
104,Private,,9.0,,Handlers-cleaners,Own-child,Male,0.0,0.0,25.0
105,Private,,9.0,,Adm-clerical,Not-in-family,Female,0.0,0.0,40.0
106,Private,112115.0,13.0,Never-married,Exec-managerial,Other-relative,,0.0,0.0,
107,Private,,9.0,,Machine-op-inspct,Not-in-family,Male,0.0,0.0,40.0
108,,130832.0,13.0,Never-married,,Unmarried,,0.0,0.0,
109,Private,238255.0,9.0,Divorced,Adm-clerical,Unmarried,,0.0,0.0,
110,Private,,9.0,,Adm-clerical,Own-child,Female,0.0,0.0,40.0
111,Private,64292.0,10.0,Never-married,Sales,Not-in-family,,0.0,0.0,
112,Self-emp-not-inc,,9.0,,Craft-repair,Unmarried,Male,0.0,0.0,40.0
113,Private,178282.0,9.0,Married-civ-spouse,Machine-op-inspct,Husband,,7688.0,0.0,
114,Private,198766.0,14.0,Married-civ-spouse,Sales,Husband,,20051.0,0.0,
115,Private,217568.0,9.0,Widowed,Craft-repair,Unmarried,,0.0,0.0,
116,Self-emp-not-inc,39630.0,9.0,Married-civ-spouse,Sales,Husband,,0.0,0.0,
117,Private,749105.0,9.0,Divorced,Other-service,Unmarried,,0.0,0.0,
118,State-gov,203628.0,13.0,Married-civ-spouse,Prof-specialty,Husband,,0.0,0.0,
119,Private,,13.0,,Craft-repair,Husband,Male,0.0,0.0,40.0
120,Private,,13.0,,Adm-clerical,Own-child,Female,0.0,0.0,37.0
121,Private,104359.0,10.0,Married-civ-spouse,Handlers-cleaners,Husband,,0.0,0.0,
122,Private,78374.0,9.0,Married-civ-spouse,Adm-clerical,Wife,,0.0,0.0,
123,Private,,10.0,,Exec-managerial,Husband,Male,0.0,0.0,40.0
124,Private,201232.0,9.0,Married-civ-spouse,Priv-house-serv,Husband,,0.0,0.0,
125,Private,39986.0,5.0,Married-civ-spouse,Craft-repair,Husband,,0.0,0.0,
126,Private,391403.0,10.0,Never-married,Adm-clerical,Own-child,,0.0,0.0,
127,Private,345073.0,9.0,Divorced,Exec-managerial,Not-in-family,,0.0,0.0,
128,Private,,9.0,,Other-service,Other-relative,Female,0.0,0.0,99.0
129,Private,131766.0,12.0,Never-married,Exec-managerial,Not-in-family,,3325.0,0.0,
130,Private,264244.0,9.0,Married-spouse-absent,Craft-repair,Not-in-family,,0.0,0.0,
131,Private,,10.0,,Machine-op-inspct,Not-in-family,Female,0.0,0.0,35.0
132,Private,111385.0,9.0,Never-married,Craft-repair,Not-in-family,,0.0,0.0,
133,Self-emp-inc,149650.0,9.0,Divorced,Other-service,Not-in-family,,0.0,0.0,
134,Private,329603.0,16.0,Married-civ-spouse,Prof-specialty,Husband,,0.0,0.0,
135,State-gov,,13.0,,Protective-serv,Not-in-family,Male,0.0,0.0,40.0
136,,,,,,Own-child,Male,0.0,0.0,40.0
137,Private,,9.0,,Craft-repair,Unmarried,Male,2036.0,0.0,30.0
138,Private,,9.0,,Exec-managerial,Husband,Male,0.0,0.0,40.0
139,Private,161087.0,,Never-married,Exec-managerial,,Male,0.0,0.0,50.0
140,Federal-gov,356689.0,13.0,Married-civ-spouse,Adm-clerical,Husband,,0.0,0.0,
141,Private,278139.0,9.0,Married-civ-spouse,Sales,Husband,,3432.0,0.0,
142,Private,187479.0,10.0,Married-civ-spouse,Exec-managerial,Husband,,0.0,0.0,
143,Private,109097.0,7.0,Never-married,Adm-clerical,Not-in-family,,0.0,0.0,
144,Private,,10.0,,Transport-moving,Husband,Male,0.0,0.0,60.0
145,Self-emp-not-inc,,13.0,,Sales,Husband,Male,0.0,1887.0,40.0
146,Private,,13.0,,Tech-support,Wife,Female,0.0,0.0,40.0
147,Private,,16.0,,Exec-managerial,Not-in-family,Male,0.0,0.0,60.0
148,Self-emp-not-inc,132589.0,10.0,Married-civ-spouse,Farming-fishing,Husband,,0.0,0.0,
149,Self-emp-not-inc,315984.0,9.0,Married-civ-spouse,Exec-managerial,Husband,,0.0,0.0,
150,Federal-gov,306515.0,9.0,Never-married,Adm-clerical,Not-in-family,,0.0,0.0,
151,Local-gov,,14.0,,Exec-managerial,Husband,Male,0.0,0.0,40.0
152,Local-gov,173542.0,9.0,Divorced,Adm-clerical,Unmarried,,0.0,0.0,
153,Federal-gov,,9.0,,Adm-clerical,Unmarried,Female,0.0,0.0,12.0
154,Federal-gov,,10.0,,Other-service,Husband,Male,0.0,0.0,40.0
155,Private,289731.0,10.0,Married-civ-spouse,Craft-repair,Husband,,0.0,0.0,
156,Self-emp-inc,104737.0,9.0,Married-civ-spouse,Craft-repair,Husband,,0.0,0.0,
157,Private,,5.0,,Handlers-cleaners,Unmarried,Male,0.0,0.0,40.0
158,Private,,9.0,,Farming-fishing,Other-relative,Male,0.0,0.0,40.0
159,Self-emp-not-inc,,13.0,,Farming-fishing,Husband,Male,0.0,0.0,50.0
160,Private,,10.0,,Adm-clerical,Not-in-family,Female,0.0,0.0,40.0
161,Self-emp-not-inc,,7.0,,Farming-fishing,Own-child,Male,0.0,0.0,24.0
162,Private,,9.0,,Other-service,Unmarried,Female,0.0,0.0,17.0
163,Private,,10.0,,Exec-managerial,Not-in-family,Female,0.0,0.0,38.0
164,Private,32958.0,10.0,Separated,Adm-clerical,Other-relative,,0.0,0.0,
165,Private,63042.0,9.0,Married-civ-spouse,Sales,Wife,,0.0,0.0,
166,Private,,9.0,,Other-service,Husband,Male,7688.0,0.0,40.0
167,Private,184882.0,11.0,Married-civ-spouse,Transport-moving,Husband,,5178.0,0.0,
168,Private,405284.0,,Never-married,Prof-specialty,Not-in-family,,0.0,1340.0,
169,Private,,9.0,,Craft-repair,Husband,Male,0.0,0.0,40.0
170,Private,,13.0,,Exec-managerial,Husband,Male,0.0,0.0,40.0
171,Private,99830.0,10.0,Married-civ-spouse,Craft-repair,Husband,,0.0,0.0,
172,Private,,14.0,,Prof-specialty,Husband,Male,0.0,1977.0,60.0
173,Private,,13.0,,Sales,Unmarried,Male,0.0,0.0,40.0
174,Private,277946.0,9.0,Married-civ-spouse,Craft-repair,Husband,,0.0,0.0,
175,Private,180010.0,10.0,Separated,Craft-repair,Unmarried,,0.0,0.0,
176,Private,,9.0,,Craft-repair,Husband,Male,0.0,0.0,40.0
177,Private,462869.0,9.0,Never-married,Handlers-cleaners,Other-relative,,0.0,0.0,
178,Private,,13.0,,Adm-clerical,Not-in-family,Female,0.0,0.0,55.0
179,Private,59496.0,,Married-civ-spouse,Sales,Husband,,2407.0,0.0,
180,,,10.0,,,Own-child,Female,0.0,0.0,40.0
181,Private,167170.0,9.0,Widowed,Machine-op-inspct,Not-in-family,,0.0,0.0,
182,Private,,13.0,,Other-service,Not-in-family,Male,0.0,0.0,40.0
183,Private,176162.0,13.0,Never-married,Handlers-cleaners,Own-child,,0.0,0.0,
184,Private,,10.0,,Adm-clerical,Husband,Male,0.0,0.0,40.0
185,Private,262092.0,13.0,Married-civ-spouse,Prof-specialty,Husband,,7298.0,0.0,
186,Private,230684.0,9.0,Married-civ-spouse,Machine-op-inspct,Husband,,0.0,0.0,
187,Private,,9.0,,Craft-repair,Own-child,Male,0.0,0.0,40.0
188,,,6.0,,,Not-in-family,Female,0.0,0.0,30.0
189,Private,,10.0,,Exec-managerial,Husband,Male,0.0,0.0,44.0
190,Local-gov,127491.0,9.0,Separated,Adm-clerical,Not-in-family,,5721.0,0.0,
191,Private,,13.0,,Sales,Not-in-family,Male,0.0,1564.0,60.0
192,Self-emp-not-inc,,9.0,,Craft-repair,Not-in-family,Male,0.0,0.0,40.0
193,Private,60722.0,13.0,Never-married,Prof-specialty,Own-child,,0.0,0.0,
194,,111916.0,9.0,Married-civ-spouse,,Husband,,0.0,0.0,
195,Self-emp-inc,,9.0,,Adm-clerical,Unmarried,Female,0.0,0.0,15.0
196,Private,,10.0,,Sales,Own-child,Male,0.0,0.0,20.0
197,Private,231263.0,9.0,Married-civ-spouse,Sales,Husband,,0.0,0.0,
198,Private,,9.0,,Sales,Own-child,Female,0.0,0.0,30.0
199,Private,199336.0,10.0,Never-married,Machine-op-inspct,Own-child,,0.0,0.0,
200,Private,,13.0,,Other-service,Own-child,Female,0.0,0.0,40.0
201,Self-emp-inc,,9.0,,Farming-fishing,Husband,Male,15024.0,0.0,40.0
202,Private,65584.0,10.0,Separated,Adm-clerical,Unmarried,,0.0,0.0,
203,Local-gov,296085.0,12.0,Married-civ-spouse,Prof-specialty,Husband,,0.0,0.0,
204,Private,258832.0,9.0,Never-married,Other-service,Other-relative,,0.0,0.0,
205,Private,106085.0,9.0,Never-married,Other-service,Own-child,,0.0,1721.0,
206,Self-emp-not-inc,274158.0,10.0,Married-civ-spouse,Machine-op-inspct,Husband,,0.0,0.0,
207,Private,758700.0,5.0,Married-civ-spouse,Handlers-cleaners,Husband,,3781.0,0.0,
208,Private,,9.0,,Other-service,Unmarried,Female,0.0,0.0,40.0
209,Private,,7.0,,Craft-repair,Not-in-family,Male,0.0,0.0,60.0
210,Local-gov,,14.0,,Prof-specialty,Not-in-family,Female,0.0,0.0,50.0
211,Self-emp-not-inc,,12.0,,Craft-repair,Not-in-family,Male,0.0,0.0,50.0
212,Private,,9.0,,Handlers-cleaners,Unmarried,Male,0.0,0.0,55.0
213,Private,,10.0,,Other-service,Husband,Male,0.0,0.0,55.0
214,Private,,3.0,,Machine-op-inspct,Own-child,Male,0.0,0.0,20.0
215,Private,,9.0,,Exec-managerial,Not-in-family,Male,0.0,0.0,44.0
216,Private,322691.0,14.0,Widowed,Exec-managerial,Own-child,,0.0,0.0,
217,Private,126675.0,9.0,Divorced,Craft-repair,Not-in-family,,0.0,2205.0,
218,Private,147099.0,14.0,Divorced,Exec-managerial,Unmarried,,0.0,0.0,
219,Private,171780.0,,Divorced,Sales,Unmarried,,0.0,0.0,
220,Private,191821.0,9.0,Divorced,Sales,Not-in-family,,0.0,0.0,
221,Private,228253.0,6.0,Never-married,Handlers-cleaners,Own-child,,0.0,0.0,
222,Private,,11.0,,Exec-managerial,Husband,Male,0.0,0.0,45.0
223,State-gov,396758.0,10.0,Divorced,Prof-specialty,Own-child,,0.0,0.0,
224,Private,191834.0,9.0,Divorced,Machine-op-inspct,Other-relative,,0.0,0.0,
225,Private,,13.0,,Sales,Not-in-family,Male,0.0,0.0,40.0
226,Private,56248.0,2.0,Married-civ-spouse,Machine-op-inspct,Husband,,0.0,0.0,
227,,237865.0,10.0,Never-married,,Own-child,,0.0,0.0,
228,,273425.0,11.0,Married-civ-spouse,,Husband,,0.0,0.0,
229,Private,242094.0,9.0,Married-civ-spouse,Other-service,Other-relative,,0.0,0.0,
230,Self-emp-not-inc,,11.0,,Farming-fishing,Husband,Male,0.0,0.0,40.0
231,Private,66935.0,13.0,Never-married,Other-service,Other-relative,,0.0,0.0,
232,Local-gov,188950.0,10.0,Never-married,Protective-serv,Own-child,,0.0,0.0,
233,Private,,12.0,,Sales,Husband,Male,0.0,0.0,52.0
234,Private,,13.0,,Prof-specialty,Not-in-family,Male,0.0,0.0,40.0
235,Self-emp-inc,33126.0,10.0,Married-civ-spouse,Exec-managerial,Husband,,0.0,0.0,
236,Self-emp-not-inc,,6.0,,Other-service,Not-in-family,Female,0.0,0.0,10.0
237,Private,,14.0,,Craft-repair,Husband,Male,15024.0,0.0,45.0
238,Private,42881.0,6.0,Divorced,Machine-op-inspct,Own-child,,0.0,0.0,
239,Private,117789.0,13.0,Never-married,Adm-clerical,Own-child,,0.0,0.0,
240,Private,,3.0,,Craft-repair,Not-in-family,Male,0.0,0.0,35.0
241,,,9.0,,,Own-child,Female,0.0,0.0,40.0
242,,,9.0,,,Husband,Male,0.0,0.0,60.0
243,Private,,5.0,,Craft-repair,Husband,Male,0.0,0.0,40.0
244,Private,,4.0,,Protective-serv,Not-in-family,Male,0.0,0.0,30.0
245,Private,,9.0,,Sales,Husband,Male,0.0,0.0,50.0
246,Private,122066.0,9.0,Married-civ-spouse,Exec-managerial,Husband,,0.0,0.0,
247,Private,305446.0,9.0,Never-married,Other-service,Own-child,,0.0,0.0,
248,Private,200700.0,10.0,Never-married,Sales,Not-in-family,,0.0,0.0,
249,Private,217424.0,14.0,Never-married,Exec-managerial,Not-in-family,,0.0,0.0,
250,Private,141896.0,8.0,Married-civ-spouse,Craft-repair,Husband,,0.0,0.0,
251,Private,,10.0,,Exec-managerial,Own-child,Female,0.0,0.0,40.0
252,Local-gov,110965.0,14.0,Never-married,Prof-specialty,Own-child,,0.0,0.0,
253,Private,,15.0,,Prof-specialty,Unmarried,Male,0.0,0.0,55.0
254,Private,177028.0,9.0,Married-civ-spouse,Protective-serv,Husband,,0.0,0.0,
255,Private,162745.0,9.0,Married-civ-spouse,Craft-repair,Husband,,7298.0,0.0,
256,Private,,,,Prof-specialty,Unmarried,Male,0.0,0.0,60.0
257,Local-gov,,9.0,,Adm-clerical,Own-child,Female,0.0,0.0,35.0
258,Self-emp-inc,231781.0,14.0,Married-civ-spouse,Exec-managerial,Husband,,0.0,0.0,
259,Private,,13.0,,Prof-specialty,Own-child,Female,0.0,0.0,40.0
260,Private,189382.0,9.0,Divorced,Craft-repair,Not-in-family,,0.0,0.0,
261,Private,,12.0,,Exec-managerial,Unmarried,Female,0.0,0.0,31.0
262,Private,194141.0,9.0,Married-civ-spouse,Machine-op-inspct,Husband,,0.0,0.0,
263,Private,38389.0,,Married-civ-spouse,Adm-clerical,Husband,,0.0,0.0,
264,,188009.0,4.0,Divorced,,Not-in-family,,0.0,0.0,
265,Private,147510.0,13.0,Divorced,Prof-specialty,Unmarried,,0.0,0.0,
266,Self-emp-not-inc,123424.0,13.0,Married-civ-spouse,Exec-managerial,Husband,,0.0,0.0,
267,Private,133503.0,9.0,Married-civ-spouse,Protective-serv,Husband,,7688.0,0.0,
268,Private,356934.0,14.0,Married-civ-spouse,Exec-managerial,Husband,,0.0,0.0,
269,Private,159048.0,9.0,Divorced,Other-service,Not-in-family,,0.0,0.0,
270,Private,,10.0,,Adm-clerical,Not-in-family,Female,0.0,0.0,40.0
271,,152140.0,9.0,Married-civ-spouse,,Wife,,0.0,0.0,
272,Private,133061.0,9.0,Never-married,Handlers-cleaners,Own-child,,0.0,0.0,
273,,185936.0,5.0,Divorced,,Not-in-family,,0.0,0.0,
274,Private,673764.0,14.0,Never-married,Prof-specialty,Not-in-family,,27828.0,0.0,
275,Private,,10.0,,Farming-fishing,Other-relative,Male,0.0,0.0,50.0
276,Private,,9.0,,Handlers-cleaners,Husband,Male,0.0,0.0,40.0
277,Private,,15.0,,Adm-clerical,Husband,Male,0.0,0.0,40.0
278,Local-gov,,9.0,,Exec-managerial,Husband,Male,0.0,0.0,40.0
279,,272166.0,10.0,Never-married,,Own-child,,0.0,1602.0,
280,Private,188382.0,10.0,Married-civ-spouse,Machine-op-inspct,Husband,,0.0,0.0,
281,Private,234037.0,9.0,Married-civ-spouse,Machine-op-inspct,Husband,,0.0,0.0,
282,Private,153021.0,8.0,Never-married,Sales,Own-child,,0.0,0.0,
283,Self-emp-not-inc,,9.0,,Craft-repair,Husband,Male,0.0,0.0,50.0
284,Private,268996.0,,Divorced,Sales,Not-in-family,,0.0,0.0,
285,,84232.0,9.0,Never-married,,Not-in-family,,0.0,0.0,
286,,,9.0,,,Husband,Male,0.0,1902.0,40.0
287,Private,,4.0,,Transport-moving,Husband,Male,0.0,0.0,45.0
288,Private,,7.0,,Other-service,Own-child,Male,0.0,0.0,10.0
289,Self-emp-not-inc,,14.0,,Sales,Not-in-family,Male,0.0,0.0,54.0
290,Private,,9.0,,Adm-clerical,Not-in-family,Female,0.0,0.0,40.0
291,Self-emp-not-inc,,9.0,,Farming-fishing,Husband,Male,0.0,0.0,20.0
292,Self-emp-inc,,13.0,,Sales,Husband,Male,0.0,0.0,55.0
293,Private,170544.0,7.0,Never-married,Handlers-cleaners,Own-child,,0.0,0.0,
294,,,10.0,,,Own-child,Male,0.0,0.0,35.0
295,Private,,4.0,,Craft-repair,Not-in-family,Male,0.0,0.0,60.0
296,Private,,9.0,,Adm-clerical,Husband,Male,0.0,0.0,40.0
297,Private,,13.0,,Exec-managerial,Husband,Male,0.0,0.0,45.0
298,Private,420351.0,9.0,Never-married,Adm-clerical,Not-in-family,,0.0,0.0,
299,Private,181974.0,10.0,Divorced,Adm-clerical,Not-in-family,,0.0,0.0,
300,Private,,9.0,,Exec-managerial,Husband,Male,0.0,0.0,65.0
301,Private,,9.0,,Craft-repair,Husband,Male,0.0,0.0,50.0
302,State-gov,,14.0,,Prof-specialty,Wife,Female,15024.0,0.0,37.0
303,Private,,10.0,,Other-service,Husband,Male,0.0,0.0,40.0
304,Private,,9.0,,Other-service,Not-in-family,Male,0.0,0.0,40.0
305,Private,228465.0,9.0,Married-civ-spouse,Transport-moving,Husband,,0.0,0.0,
306,Private,,10.0,,Adm-clerical,Own-child,Female,0.0,0.0,40.0
307,Private,,9.0,,Priv-house-serv,Other-relative,Female,0.0,0.0,20.0
308,Private,,9.0,,Adm-clerical,Not-in-family,Female,0.0,0.0,40.0
309,Private,132919.0,9.0,Married-civ-spouse,Adm-clerical,Wife,,0.0,0.0,
310,State-gov,,,,Adm-clerical,Husband,Male,0.0,0.0,40.0
311,Private,,6.0,,Other-service,Wife,Female,0.0,0.0,40.0
312,Federal-gov,,,,Prof-specialty,Husband,Male,0.0,0.0,45.0
313,Private,278254.0,10.0,Never-married,Handlers-cleaners,Own-child,,0.0,0.0,
314,Local-gov,195418.0,13.0,Married-civ-spouse,Prof-specialty,Husband,,0.0,0.0,
315,Private,302195.0,13.0,Never-married,Sales,Not-in-family,,0.0,0.0,
316,State-gov,,10.0,,Prof-specialty,Own-child,Male,0.0,0.0,20.0
317,Private,104258.0,6.0,Married-civ-spouse,Craft-repair,Husband,,0.0,0.0,
318,Self-emp-not-inc,112115.0,13.0,Married-civ-spouse,Prof-specialty,Husband,,7688.0,0.0,
319,Private,164488.0,14.0,Married-civ-spouse,Prof-specialty,Husband,,0.0,1887.0,
320,,210474.0,10.0,Never-married,,Own-child,,0.0,0.0,
321,Self-emp-inc,415037.0,10.0,Divorced,Exec-managerial,Not-in-family,,0.0,0.0,
322,Private,,7.0,,Transport-moving,Own-child,Male,0.0,0.0,20.0
323,Self-emp-inc,,9.0,,Prof-specialty,Husband,Male,0.0,0.0,60.0
324,Private,151107.0,10.0,Married-civ-spouse,Sales,Husband,,0.0,1977.0,
325,,29866.0,4.0,Married-civ-spouse,,Husband,,0.0,0.0,
326,Private,176360.0,13.0,Married-civ-spouse,Sales,Husband,,0.0,0.0,
327,Private,,9.0,,Craft-repair,Husband,Male,0.0,0.0,35.0
328,Self-emp-not-inc,403391.0,13.0,Married-civ-spouse,Exec-managerial,Husband,,0.0,0.0,
329,Private,291429.0,9.0,Never-married,Other-service,Own-child,,0.0,0.0,
330,,308689.0,3.0,Married-civ-spouse,,Husband,,0.0,0.0,
331,Federal-gov,,10.0,,Handlers-cleaners,Husband,Male,0.0,1977.0,60.0
332,Private,,10.0,,Other-service,Not-in-family,Female,0.0,0.0,58.0
