,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week
113,,Private,141642.0,,9.0,Never-married,Other-service,Not-in-family,,,0.0,0.0,
114,27.0,,168138.0,HS-grad,9.0,,,,White,,0.0,0.0,
115,,Self-emp-not-inc,203784.0,,11.0,Married-civ-spouse,Farming-fishing,Husband,,,0.0,0.0,
116,49.0,,200471.0,HS-grad,9.0,,,,White,,0.0,0.0,
117,57.0,,24127.0,Bachelors,13.0,,,,White,,0.0,0.0,
118,,Private,,,9.0,,Craft-repair,Own-child,,Male,0.0,0.0,40.0
119,,Private,99591.0,,7.0,Never-married,Other-service,Own-child,,,0.0,0.0,
120,,Federal-gov,280167.0,,14.0,Married-civ-spouse,Prof-specialty,Husband,,,0.0,0.0,
121,,Private,,,6.0,,Other-service,Unmarried,,Female,0.0,0.0,25.0
122,,Federal-gov,368947.0,,13.0,Never-married,Protective-serv,Not-in-family,,,0.0,0.0,
123,,State-gov,142757.0,,9.0,Married-civ-spouse,Protective-serv,Husband,,,0.0,0.0,
124,40.0,,171231.0,Bachelors,13.0,,,,White,,0.0,0.0,
125,,Private,198587.0,,9.0,Never-married,Sales,Unmarried,,,0.0,0.0,
126,,Federal-gov,39181.0,,16.0,Divorced,Exec-managerial,Not-in-family,,,0.0,2559.0,
127,,Self-emp-inc,,,13.0,,Sales,Not-in-family,,Male,0.0,0.0,50.0
128,,Self-emp-inc,39844.0,,9.0,Never-married,Transport-moving,Not-in-family,,,0.0,0.0,
129,33.0,,554986.0,Some-college,10.0,,,,White,,0.0,0.0,
130,,Federal-gov,,,9.0,,Tech-support,Husband,,Male,7298.0,0.0,50.0
131,,Private,,,6.0,,Other-service,Other-relative,,Female,0.0,0.0,20.0
132,,Private,,,10.0,,Craft-repair,Other-relative,,Male,0.0,0.0,40.0
133,27.0,,183802.0,HS-grad,9.0,,,,White,,0.0,0.0,
134,,Private,234220.0,,9.0,Divorced,Machine-op-inspct,Own-child,,,0.0,0.0,
135,,,,,10.0,,,Own-child,,Male,0.0,0.0,32.0
136,,Self-emp-not-inc,220148.0,,9.0,Married-civ-spouse,Exec-managerial,Husband,,,0.0,0.0,
137,,Private,,,10.0,,Sales,Husband,,Male,0.0,0.0,40.0
138,,Private,210095.0,,7.0,Married-spouse-absent,Handlers-cleaners,Not-in-family,,,0.0,0.0,
139,,Local-gov,,,10.0,,Protective-serv,Husband,,Male,0.0,0.0,48.0
140,26.0,,201138.0,11,,,,,White,,0.0,0.0,
141,,Private,91257.0,,9.0,Married-civ-spouse,Other-service,Husband,,,0.0,0.0,
142,53.0,,214691.0,Bachelors,13.0,,,,White,,0.0,0.0,
143,,Private,183594.0,,9.0,Never-married,Adm-clerical,Other-relative,,,0.0,0.0,
144,,Local-gov,74056.0,,13.0,Never-married,Tech-support,Not-in-family,,,0.0,0.0,
145,,Private,,,13.0,,Sales,Husband,,Male,15024.0,0.0,50.0
146,21.0,,242736.0,Assoc-acdm,12.0,,,,White,,0.0,0.0,
147,,State-gov,62726.0,,10.0,Divorced,Other-service,Not-in-family,,,0.0,0.0,
148,,Private,,,9.0,,Machine-op-inspct,Not-in-family,,Female,0.0,0.0,40.0
149,,,191140.0,,10.0,Never-married,,Own-child,,,0.0,0.0,
150,,Private,,,9.0,,Handlers-cleaners,Own-child,,Male,0.0,0.0,25.0
151,,Private,,,9.0,,Adm-clerical,Not-in-family,,Female,0.0,0.0,40.0
152,,Private,112115.0,,13.0,Never-married,Exec-managerial,Other-relative,,,0.0,0.0,
153,,Private,,,9.0,,Machine-op-inspct,Not-in-family,,Male,0.0,0.0,40.0
154,,,130832.0,,13.0,Never-married,,Unmarried,,,0.0,0.0,
155,,Private,238255.0,,9.0,Divorced,Adm-clerical,Unmarried,,,0.0,0.0,
156,,Private,,,9.0,,Adm-clerical,Own-child,,Female,0.0,0.0,40.0
157,,Private,64292.0,,10.0,Never-married,Sales,Not-in-family,,,0.0,0.0,
158,,Self-emp-not-inc,,,9.0,,Craft-repair,Unmarried,,Male,0.0,0.0,40.0
159,,Private,178282.0,,9.0,Married-civ-spouse,Machine-op-inspct,Husband,,,7688.0,0.0,
160,,Private,198766.0,,14.0,Married-civ-spouse,Sales,Husband,,,20051.0,0.0,
161,,Private,217568.0,,9.0,Widowed,Craft-repair,Unmarried,,,0.0,0.0,
162,,Self-emp-not-inc,39630.0,,9.0,Married-civ-spouse,Sales,Husband,,,0.0,0.0,
163,58.0,,314092.0,Assoc-voc,11.0,,,,White,,0.0,1887.0,
164,28.0,,195000.0,Bachelors,13.0,,,,White,,0.0,0.0,
165,57.0,,56480.0,HS-grad,9.0,,,,White,,0.0,0.0,
166,,Private,749105.0,,9.0,Divorced,Other-service,Unmarried,,,0.0,0.0,
167,,State-gov,203628.0,,13.0,Married-civ-spouse,Prof-specialty,Husband,,,0.0,0.0,
168,21.0,,138768.0,Some-college,10.0,,,,White,,0.0,0.0,
169,40.0,,190290.0,Some-college,10.0,,,,White,,0.0,0.0,
170,,Private,,,13.0,,Craft-repair,Husband,,Male,0.0,0.0,40.0
171,,Private,,,13.0,,Adm-clerical,Own-child,,Female,0.0,0.0,37.0
172,,Private,104359.0,,10.0,Married-civ-spouse,Handlers-cleaners,Husband,,,0.0,0.0,
173,,Private,78374.0,,9.0,Married-civ-spouse,Adm-clerical,Wife,,,0.0,0.0,
174,63.0,,184319.0,Some-college,10.0,,,,White,,0.0,0.0,
175,,Private,,,10.0,,Exec-managerial,Husband,,Male,0.0,0.0,40.0
176,,Private,201232.0,,9.0,Married-civ-spouse,Priv-house-serv,Husband,,,0.0,0.0,
177,63.0,,113756.0,HS-grad,9.0,,,,White,,0.0,0.0,
178,,Private,39986.0,,5.0,Married-civ-spouse,Craft-repair,Husband,,,0.0,0.0,
179,,Private,391403.0,,10.0,Never-married,Adm-clerical,Own-child,,,0.0,0.0,
180,,Private,345073.0,,9.0,Divorced,Exec-managerial,Not-in-family,,,0.0,0.0,
181,47.0,,152572.0,HS-grad,9.0,,,,White,,0.0,0.0,
182,,Private,,,9.0,,Other-service,Other-relative,,Female,0.0,0.0,99.0
183,37.0,,217054.0,HS-grad,9.0,,,,White,,0.0,0.0,
184,35.0,,65876.0,Assoc-voc,11.0,,,,White,,0.0,0.0,
185,,Private,131766.0,,12.0,Never-married,Exec-managerial,Not-in-family,,,3325.0,0.0,
186,,Private,264244.0,,9.0,Married-spouse-absent,Craft-repair,Not-in-family,,,0.0,0.0,
187,53.0,,110977.0,Masters,14.0,,,,White,,0.0,1902.0,
188,28.0,,30237.0,Some-college,10.0,,,,White,,0.0,0.0,
189,,Private,,,10.0,,Machine-op-inspct,Not-in-family,,Female,0.0,0.0,35.0
190,52.0,,144361.0,Assoc-voc,11.0,,,,White,,0.0,1902.0,
191,32.0,,73514.0,Assoc-voc,11.0,,,,Asian-Pac-Islander,,0.0,0.0,
192,,Private,111385.0,,9.0,Never-married,Craft-repair,Not-in-family,,,0.0,0.0,
193,,Self-emp-inc,149650.0,,9.0,Divorced,Other-service,Not-in-family,,,0.0,0.0,
194,31.0,,30290.0,HS-grad,9.0,,,,White,,0.0,0.0,
195,,Private,329603.0,,16.0,Married-civ-spouse,Prof-specialty,Husband,,,0.0,0.0,
196,45.0,,109434.0,Bachelors,13.0,,,,White,,0.0,0.0,
197,,State-gov,,,13.0,,Protective-serv,Not-in-family,,Male,0.0,0.0,40.0
198,29.0,,51260.0,,9.0,,,,Black,,0.0,0.0,
199,,,,,,,,Own-child,,Male,0.0,0.0,40.0
200,,Private,,,9.0,,Craft-repair,Unmarried,,Male,2036.0,0.0,30.0
201,,Private,,,9.0,,Exec-managerial,Husband,,Male,0.0,0.0,40.0
202,18.0,,238867.0,11th,7.0,,,,White,,0.0,1602.0,
203,,Private,161087.0,,,Never-married,Exec-managerial,,,Male,0.0,0.0,50.0
204,,Federal-gov,356689.0,,13.0,Married-civ-spouse,Adm-clerical,Husband,,,0.0,0.0,
205,,Private,278139.0,,9.0,Married-civ-spouse,Sales,Husband,,,3432.0,0.0,
206,,Private,187479.0,,10.0,Married-civ-spouse,Exec-managerial,Husband,,,0.0,0.0,
207,45.0,,178319.0,Doctorate,16.0,,,,White,,0.0,0.0,
208,,Private,109097.0,,7.0,Never-married,Adm-clerical,Not-in-family,,,0.0,0.0,
209,,Private,,,10.0,,Transport-moving,Husband,,Male,0.0,0.0,60.0
210,,Self-emp-not-inc,,,13.0,,Sales,Husband,,Male,0.0,1887.0,40.0
211,,Private,,,13.0,,Tech-support,Wife,,Female,0.0,0.0,40.0
212,,Private,,,16.0,,Exec-managerial,Not-in-family,,Male,0.0,0.0,60.0
213,,Self-emp-not-inc,132589.0,,10.0,Married-civ-spouse,Farming-fishing,Husband,,,0.0,0.0,
214,,Self-emp-not-inc,315984.0,,9.0,Married-civ-spouse,Exec-managerial,Husband,,,0.0,0.0,
215,,Federal-gov,306515.0,,9.0,Never-married,Adm-clerical,Not-in-family,,,0.0,0.0,
216,22.0,,232985.0,HS-grad,9.0,,,,White,,0.0,0.0,
217,36.0,,117381.0,HS-grad,9.0,,,,White,,0.0,0.0,
218,,Local-gov,,,14.0,,Exec-managerial,Husband,,Male,0.0,0.0,40.0
219,,Local-gov,173542.0,,9.0,Divorced,Adm-clerical,Unmarried,,,0.0,0.0,
220,,Federal-gov,,,9.0,,Adm-clerical,Unmarried,,Female,0.0,0.0,12.0
221,,Federal-gov,,,10.0,,Other-service,Husband,,Male,0.0,0.0,40.0
222,,Private,289731.0,,10.0,Married-civ-spouse,Craft-repair,Husband,,,0.0,0.0,
223,43.0,,194636.0,Bachelors,13.0,,,,White,,0.0,0.0,
224,45.0,,153312.0,Masters,14.0,,,,Black,,0.0,0.0,
225,,Self-emp-inc,104737.0,,9.0,Married-civ-spouse,Craft-repair,Husband,,,0.0,0.0,
226,,Private,,,5.0,,Handlers-cleaners,Unmarried,,Male,0.0,0.0,40.0
227,,Private,,,9.0,,Farming-fishing,Other-relative,,Male,0.0,0.0,40.0
228,,Self-emp-not-inc,,,13.0,,Farming-fishing,Husband,,Male,0.0,0.0,50.0
229,22.0,,40052.0,,13.0,,,,White,,0.0,0.0,
230,,Private,,,10.0,,Adm-clerical,Not-in-family,,Female,0.0,0.0,40.0
231,,Self-emp-not-inc,,,7.0,,Farming-fishing,Own-child,,Male,0.0,0.0,24.0
232,,Private,,,9.0,,Other-service,Unmarried,,Female,0.0,0.0,17.0
233,39.0,,247975.0,Some-college,10.0,,,,Asian-Pac-Islander,,0.0,0.0,
234,,Private,,,10.0,,Exec-managerial,Not-in-family,,Female,0.0,0.0,38.0
235,,Private,32958.0,,10.0,Separated,Adm-clerical,Other-relative,,,0.0,0.0,
236,40.0,,33310.0,Prof-school,15.0,,,,White,,0.0,2339.0,
237,,Private,63042.0,,9.0,Married-civ-spouse,Sales,Wife,,,0.0,0.0,
238,39.0,,208778.0,HS-grad,9.0,,,,White,,0.0,0.0,
239,52.0,,561489.0,Masters,14.0,,,,Black,,0.0,0.0,
240,,Private,,,9.0,,Other-service,Husband,,Male,7688.0,0.0,40.0
241,,Private,184882.0,,11.0,Married-civ-spouse,Transport-moving,Husband,,,5178.0,0.0,
242,,Private,405284.0,,,Never-married,Prof-specialty,Not-in-family,,,0.0,1340.0,
243,43.0,,180599.0,Prof-school,15.0,,,,White,,15024.0,0.0,
244,,Private,,,9.0,,Craft-repair,Husband,,Male,0.0,0.0,40.0
245,,Private,,,13.0,,Exec-managerial,Husband,,Male,0.0,0.0,40.0
246,,Private,99830.0,,10.0,Married-civ-spouse,Craft-repair,Husband,,,0.0,0.0,
247,41.0,,111483.0,HS-grad,9.0,,,,White,,0.0,0.0,
248,33.0,,251990.0,HS-grad,9.0,,,,Other,,0.0,0.0,
249,,Private,,,14.0,,Prof-specialty,Husband,,Male,0.0,1977.0,60.0
250,38.0,,450924.0,12th,8.0,,,,White,,3942.0,0.0,
251,37.0,,176967.0,Some-college,10.0,,,,White,,0.0,0.0,
252,55.0,,161334.0,HS-grad,9.0,,,,White,,0.0,0.0,
253,,Private,,,13.0,,Sales,Unmarried,,Male,0.0,0.0,40.0
254,,Private,277946.0,,9.0,Married-civ-spouse,Craft-repair,Husband,,,0.0,0.0,
255,,Private,180010.0,,10.0,Separated,Craft-repair,Unmarried,,,0.0,0.0,
256,,Private,,,9.0,,Craft-repair,Husband,,Male,0.0,0.0,40.0
257,,Private,462869.0,,9.0,Never-married,Handlers-cleaners,Other-relative,,,0.0,0.0,
258,,Private,,,13.0,,Adm-clerical,Not-in-family,,Female,0.0,0.0,55.0
259,,Private,59496.0,,,Married-civ-spouse,Sales,Husband,,,2407.0,0.0,
260,41.0,,143003.0,Masters,14.0,,,,Asian-Pac-Islander,,0.0,1887.0,
261,,,,,10.0,,,Own-child,,Female,0.0,0.0,40.0
262,,Private,167170.0,,9.0,Widowed,Machine-op-inspct,Not-in-family,,,0.0,0.0,
263,,Private,,,13.0,,Other-service,Not-in-family,,Male,0.0,0.0,40.0
264,24.0,,173736.0,Assoc-voc,11.0,,,,White,,0.0,0.0,
265,,Private,176162.0,,13.0,Never-married,Handlers-cleaners,Own-child,,,0.0,0.0,
266,52.0,,199995.0,Masters,14.0,,,,White,,7298.0,0.0,
267,,Private,,,10.0,,Adm-clerical,Husband,,Male,0.0,0.0,40.0
268,29.0,,211208.0,,7.0,,,,White,,0.0,0.0,
269,,Private,262092.0,,13.0,Married-civ-spouse,Prof-specialty,Husband,,,7298.0,0.0,
270,,Private,230684.0,,9.0,Married-civ-spouse,Machine-op-inspct,Husband,,,0.0,0.0,
271,,Private,,,9.0,,Craft-repair,Own-child,,Male,0.0,0.0,40.0
272,,,,,6.0,,,Not-in-family,,Female,0.0,0.0,30.0
273,,Private,,,10.0,,Exec-managerial,Husband,,Male,0.0,0.0,44.0
274,,Local-gov,127491.0,,9.0,Separated,Adm-clerical,Not-in-family,,,5721.0,0.0,
275,24.0,,253190.0,HS-grad,9.0,,,,White,,0.0,0.0,
276,33.0,,182511.0,Assoc-voc,11.0,,,,White,,0.0,0.0,
277,,Private,,,13.0,,Sales,Not-in-family,,Male,0.0,1564.0,60.0
278,,Self-emp-not-inc,,,9.0,,Craft-repair,Not-in-family,,Male,0.0,0.0,40.0
279,,Private,60722.0,,13.0,Never-married,Prof-specialty,Own-child,,,0.0,0.0,
280,45.0,,242391.0,Bachelors,13.0,,,,White,,0.0,0.0,
281,36.0,,139364.0,Bachelors,13.0,,,,White,,0.0,0.0,
282,,,111916.0,,9.0,Married-civ-spouse,,Husband,,,0.0,0.0,
283,51.0,,87205.0,Assoc-acdm,12.0,,,,White,,0.0,0.0,
284,32.0,,204374.0,HS-grad,9.0,,,,White,,0.0,0.0,
285,,Self-emp-inc,,,9.0,,Adm-clerical,Unmarried,,Female,0.0,0.0,15.0
286,,Private,,,10.0,,Sales,Own-child,,Male,0.0,0.0,20.0
287,39.0,,113151.0,Bachelors,13.0,,,,White,,0.0,0.0,
288,,Private,231263.0,,9.0,Married-civ-spouse,Sales,Husband,,,0.0,0.0,
289,,Private,,,9.0,,Sales,Own-child,,Female,0.0,0.0,30.0
290,,Private,199336.0,,10.0,Never-married,Machine-op-inspct,Own-child,,,0.0,0.0,
291,35.0,,172571.0,Assoc-voc,11.0,,,,White,,0.0,0.0,
292,,Private,,,13.0,,Other-service,Own-child,,Female,0.0,0.0,40.0
293,27.0,,239130.0,HS-grad,9.0,,,,White,,0.0,2444.0,
294,68.0,,274096.0,10th,6.0,,,,White,,0.0,0.0,
295,21.0,,472861.0,11th,7.0,,,,Black,,0.0,0.0,
296,,Self-emp-inc,,,9.0,,Farming-fishing,Husband,,Male,15024.0,0.0,40.0
297,,Private,65584.0,,10.0,Separated,Adm-clerical,Unmarried,,,0.0,0.0,
298,,Local-gov,296085.0,,12.0,Married-civ-spouse,Prof-specialty,Husband,,,0.0,0.0,
299,,Private,258832.0,,9.0,Never-married,Other-service,Other-relative,,,0.0,0.0,
300,,Private,106085.0,,9.0,Never-married,Other-service,Own-child,,,0.0,1721.0,
301,,Self-emp-not-inc,274158.0,,10.0,Married-civ-spouse,Machine-op-inspct,Husband,,,0.0,0.0,
302,,Private,758700.0,,5.0,Married-civ-spouse,Handlers-cleaners,Husband,,,3781.0,0.0,
303,,Private,,,9.0,,Other-service,Unmarried,,Female,0.0,0.0,40.0
304,17.0,,36801.0,10th,6.0,,,,White,,0.0,0.0,
305,72.0,,94268.0,HS-grad,9.0,,,,White,,0.0,0.0,
306,,Private,,,7.0,,Craft-repair,Not-in-family,,Male,0.0,0.0,60.0
307,,Local-gov,,,14.0,,Prof-specialty,Not-in-family,,Female,0.0,0.0,50.0
308,22.0,,183083.0,Some-college,10.0,,,,White,,0.0,0.0,
309,,Self-emp-not-inc,,,12.0,,Craft-repair,Not-in-family,,Male,0.0,0.0,50.0
310,,Private,,,9.0,,Handlers-cleaners,Unmarried,,Male,0.0,0.0,55.0
311,,Private,,,10.0,,Other-service,Husband,,Male,0.0,0.0,55.0
312,,Private,,,3.0,,Machine-op-inspct,Own-child,,Male,0.0,0.0,20.0
313,,Private,,,9.0,,Exec-managerial,Not-in-family,,Male,0.0,0.0,44.0
314,,Private,322691.0,,14.0,Widowed,Exec-managerial,Own-child,,,0.0,0.0,
315,,Private,126675.0,,9.0,Divorced,Craft-repair,Not-in-family,,,0.0,2205.0,
316,,Private,147099.0,,14.0,Divorced,Exec-managerial,Unmarried,,,0.0,0.0,
317,49.0,,148995.0,HS-grad,9.0,,,,White,,0.0,0.0,
318,,Private,171780.0,,,Divorced,Sales,Unmarried,,,0.0,0.0,
319,,Private,191821.0,,9.0,Divorced,Sales,Not-in-family,,,0.0,0.0,
320,,Private,228253.0,,6.0,Never-married,Handlers-cleaners,Own-child,,,0.0,0.0,
321,,Private,,,11.0,,Exec-managerial,Husband,,Male,0.0,0.0,45.0
322,,State-gov,396758.0,,10.0,Divorced,Prof-specialty,Own-child,,,0.0,0.0,
323,,Private,191834.0,,9.0,Divorced,Machine-op-inspct,Other-relative,,,0.0,0.0,
324,,Private,,,13.0,,Sales,Not-in-family,,Male,0.0,0.0,40.0
325,,Private,56248.0,,2.0,Married-civ-spouse,Machine-op-inspct,Husband,,,0.0,0.0,
